,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cedear
TMO,Health Care,Thermo Fisher Scientific Inc.,0.658055,570.1,S&P500,32.32,17.64,0.10%,392.00M,1.49%,214.61B,21.31,26.75,-30.84%,384.43M,1.90%,6.95B,4.16,5.67,91.00%,0.75% / 2.02,3.52%,44.91B,4.78,-9.30%,0.05%,2.88M,12.40%,112.19,5.08,7.50%,649.59,-3.48%,-,-,7.77%,16.30%,475.77 - 618.35,3.52%,1.40,33.24,23.60%,9.60%,-7.81%,0.79,0.25%,1.20,16.50%,42.20%,19.82%,12.30,130000,1.50,7.00%,18.30%,57.24,1.67% 2.21%,Yes,0.78,-3.70%,15.50%,0.73,576.37,Yes,0.66,Feb 01 BMO,6.50%,1.42M,570.07,2.00,2.81%,1.35%,3.70%,"1,034,421",-1.09%,1
COST,Consumer Staples,Costco Wholesale Corporation,0.64183,496.75,"NDX, S&P 500 NDQ100",36.52,13.61,0.20%,443.88M,0.77%,218.03B,31.69,15.69,-1.97%,441.63M,4.58%,6.05B,3.69,3.35,69.10%,0.80% / 1.80,8.88%,234.39B,0.93,16.60%,0.27%,3.52M,5.24%,51.35,9.68,9.30%,547.82,-13.69%,31.24,15.91,9.90%,28.50%,406.51 - 612.27,8.88%,3.60,55.52,16.70%,20.40%,-18.82%,0.79,0.72%,0.60,12.00%,12.10%,22.27%,8.16,304000,1.10,6.50%,3.40%,57.16,1.12% 1.70%,Yes,0.29,13.00%,2.60%,0.92,496.87,Yes,0.29,Mar 02 AMC,25.60%,1.96M,497.03,2.10,2.18%,0.54%,-0.22%,"1,804,287",0.03%,1
WMT,Consumer Staples,Walmart Inc.,0.601941,148.04,"DJIA, S&P 500",34.80,4.27,0.90%,2.70B,3.14%,395.98B,22.04,6.75,-78.86%,1.38B,5.70%,11.68B,6.84,1.30,32.90%,0.72% / 1.52,4.87%,611.29B,0.65,-12.40%,-0.56%,9.96M,14.64%,28.44,5.23,4.70%,162.55,-0.15%,3.24,45.91,5.09%,15.40%,117.27 - 160.77,4.87%,2.28,67.46,5.90%,11.80%,-7.51%,0.49,1.53%,0.20,4.10%,24.10%,26.79%,2.15,2100000,0.80,7.30%,3.30%,70.55,1.08% 1.35%,Yes,0.58,81.00%,1.90%,1.01,147.45,Yes,0.51,Feb 21 BMO,52.20%,6.54M,148.69,1.90,5.70%,4.71%,7.93%,"6,583,072",0.84%,1
CSCO,Information Technology,Cisco Systems Inc.,0.625164,52.28,"DJIA, NDX, S&P 500 NDQ100",19.16,2.73,0.10%,4.10B,3.50%,210.79B,12.98,4.03,-7.70%,4.09B,6.15%,11.30B,2.62,0.97,74.90%,1.01% / 2.24,9.80%,53.16B,3.97,12.70%,-0.08%,41.36M,30.77%,10.11,5.17,12.00%,57.55,-6.19%,5.47,9.55,7.32%,27.90%,38.60 - 56.19,9.80%,1.56,22.90,8.20%,22.90%,-6.91%,0.98,2.98%,1.30,1.40%,61.90%,35.50%,0.85,83300,1.40,6.90%,26.10%,69.15,1.19% 1.70%,Yes,0.21,-4.70%,21.30%,0.92,52.28,Yes,0.18,Feb 15 AMC,55.10%,18.43M,52.31,2.50,4.75%,6.70%,13.57%,"16,882,252",0.07%,1
MCD,Consumer Discretionary,McDonald's Corporation,0.596175,281.88,"DJIA, S&P 500",33.82,8.34,0.17%,731.10M,3.03%,205.04B,24.12,11.70,-1.28%,730.16M,4.86%,6.18B,4.36,2.67,70.20%,0.86% / 2.29,7.06%,23.18B,8.84,-17.00%,0.21%,6.29M,22.28%,-8.21,-,12.40%,295.69,14.10%,3.56,79.36,7.75%,-99.10%,228.34 - 281.67,7.06%,6.08,155.42,2.90%,24.00%,0.17%,0.63,2.15%,1.40,0.30%,57.00%,23.56%,3.71,150000,1.40,-1.40%,38.10%,70.86,0.84% 1.46%,Yes,-,18.60%,26.60%,0.86,279.61,Yes,-,Apr 25 BMO,67.40%,2.74M,282.14,2.00,4.61%,5.23%,7.98%,"2,351,560",0.90%,1
ABT,Health Care,Abbott Laboratories,0.51397,101.32,S&P500,25.88,3.92,0.40%,1.74B,3.18%,172.76B,21.05,4.83,-1.16%,1.73B,-2.74%,6.93B,3.12,1.08,76.20%,0.74% / 2.48,-7.47%,43.65B,3.96,-0.60%,0.27%,12.84M,4.99%,21.04,4.83,9.40%,122.97,-14.17%,5.98,16.99,8.30%,19.20%,93.25 - 124.36,-7.47%,2.04,38.43,30.50%,13.00%,-18.31%,0.66,2.01%,1.20,9.80%,56.10%,8.94%,1.85,115000,1.60,-12.00%,19.20%,54.72,1.50% 1.83%,Yes,0.46,-47.20%,15.90%,1.05,101.26,Yes,0.40,Apr 19 BMO,47.60%,5.17M,101.59,2.00,3.13%,-2.35%,-3.52%,"5,432,333",0.33%,1
DHR,Health Care,Danaher Corporation,0.480928,249.88,S&P500,25.88,9.66,0.20%,729.00M,0.85%,180.59B,22.59,11.07,-3.43%,647.64M,-1.20%,7.10B,7.81,2.40,81.00%,0.53% / 1.33,-5.78%,31.47B,5.74,13.70%,-0.22%,3.45M,-3.17%,66.41,3.77,8.60%,302.30,-14.74%,8.30,30.12,3.31%,15.60%,233.71 - 303.82,-5.78%,1.08,27.58,25.70%,11.20%,-17.68%,0.80,0.43%,1.50,15.20%,60.20%,7.01%,5.01,79000,1.90,2.70%,27.60%,51.47,1.23% 2.02%,Yes,0.41,25.20%,22.60%,1.02,252.04,Yes,0.39,Apr 25 BMO,9.80%,2.60M,250.09,2.00,1.57%,-1.65%,-5.26%,"2,648,481",-0.77%,0
ACN,Information Technology,Accenture Plc Class A,0.523962,285.41,S&P500,26.31,10.86,0.10%,662.60M,4.34%,187.31B,22.75,12.57,-12.40%,661.59M,6.18%,6.94B,2.92,3.03,75.40%,0.86% / 2.35,7.12%,63.14B,2.97,17.00%,1.17%,5.68M,11.09%,37.67,7.59,14.70%,311.80,-15.24%,9.53,30.00,9.00%,30.80%,242.80 - 345.30,7.12%,4.48,28.98,14.50%,31.90%,-17.22%,1.24,1.57%,1.30,11.20%,32.10%,17.73%,6.16,721000,1.30,5.10%,14.70%,66.95,1.20% 2.30%,Yes,0.00,-5.90%,11.00%,1.00,285.81,Yes,0.00,Mar 23 BMO,38.00%,2.42M,285.84,2.10,8.53%,5.10%,2.20%,"2,417,204",0.01%,0
NEE,Utilities,NextEra Energy Inc.,0.445896,76.04,S&P500,36.68,2.09,0.20%,1.99B,1.63%,151.41B,22.70,3.38,-0.17%,1.98B,3.85%,4.15B,3.33,0.80,80.30%,0.79% / 1.70,-8.29%,20.96B,7.23,15.70%,0.97%,15.69M,-2.22%,19.73,3.89,2.70%,94.85,-9.49%,0.81,94.57,11.00%,11.00%,67.22 - 91.35,-8.29%,1.87,32.30,2.50%,3.40%,-16.07%,0.46,2.44%,0.40,4.10%,-,14.06%,1.58,15300,0.50,22.20%,19.50%,56.79,1.46% 2.12%,Yes,1.66,25.20%,19.80%,0.60,77.08,Yes,1.41,Jan 25 BMO,81.00%,9.25M,76.67,1.90,2.24%,2.01%,-4.84%,"5,536,269",-0.53%,0
VZ,Communication Services,Verizon Communications Inc.,0.475481,39.21,"DJIA, S&P 500",7.76,5.06,0.03%,4.21B,3.07%,163.75B,8.31,4.72,-1.79%,4.20B,2.51%,21.26B,60.60,1.19,63.80%,1.01% / 2.08,-0.46%,136.84B,1.20,-4.90%,-1.64%,42.43M,3.29%,21.68,1.81,5.70%,44.42,-23.01%,0.62,62.86,0.13%,24.40%,34.55 - 55.51,-0.46%,2.61,50.40,9.20%,10.10%,-29.35%,0.34,6.65%,0.70,1.70%,56.80%,13.52%,0.60,117100,0.80,3.50%,22.60%,62.62,1.10% 1.54%,Yes,1.65,41.40%,15.50%,0.95,38.89,Yes,1.54,Apr 25 BMO,50.90%,20.44M,39.22,2.80,4.55%,0.52%,-4.62%,"19,345,645",0.85%,1
LIN,Materials,Linde plc,0.509604,355.04,S&P500,43.47,8.24,0.10%,493.71M,3.17%,174.31B,24.27,14.76,-14.63%,491.60M,-1.18%,4.15B,4.29,3.39,85.80%,0.83% / 1.54,9.79%,33.36B,5.22,12.40%,0.61%,4.08M,32.83%,81.08,4.42,5.30%,379.26,12.11%,11.17,32.07,10.14%,10.30%,262.47 - 362.74,9.79%,5.10,52.08,7.70%,6.80%,-1.28%,0.85,1.42%,0.70,24.00%,41.70%,36.43%,7.03,65010,0.80,-4.80%,16.10%,63.32,1.28% 1.87%,Yes,0.45,34.50%,12.40%,0.71,355.44,Yes,0.30,Feb 07 BMO,56.30%,2.64M,358.10,1.90,3.98%,6.01%,15.26%,"1,878,450",0.75%,0
DIS,Communication Services,Walt Disney Company,0.532493,99.64,"DJIA, S&P 500",54.87,1.82,0.06%,1.82B,4.33%,178.55B,18.09,5.52,-5.38%,1.82B,-1.36%,3.32B,2.69,1.33,65.00%,0.98% / 1.63,14.83%,84.42B,2.12,57.80%,2.30%,17.81M,5.76%,52.68,1.89,1.60%,126.03,-27.27%,4.73,21.08,20.41%,3.50%,84.07 - 139.26,14.83%,-,1899.44,-21.00%,3.30%,-28.36%,1.30,-,0.90,8.50%,33.40%,18.66%,2.24,220000,1.00,7.80%,7.50%,55.94,1.46% 2.21%,Yes,0.50,11.10%,3.90%,0.67,100.13,Yes,0.47,Feb 08 AMC,0.00%,10.94M,99.76,2.00,4.11%,-2.20%,-1.09%,"7,291,448",-0.37%,0
WFC,Financials,Wells Fargo & Company,0.414647,37.69,S&P500,12.00,3.14,0.20%,3.80B,0.67%,142.47B,7.19,5.24,-0.46%,3.75B,-19.49%,12.07B,2.11,1.20,74.60%,0.80% / 1.29,-8.65%,54.02B,2.64,-36.40%,1.29%,30.02M,-6.22%,42.22,0.89,0.60%,52.67,-22.16%,100.01,0.38,5.68%,7.60%,35.25 - 50.19,-8.65%,1.20,6.23,-2.70%,12.30%,-24.85%,1.14,3.18%,-,-1.70%,-,7.01%,1.31,238000,-,75.80%,80.40%,37.95,2.24% 3.44%,Yes,1.09,-51.10%,22.30%,0.92,37.38,Yes,1.09,Apr 14 BMO,34.70%,23.28M,37.72,2.00,-3.93%,-13.79%,-12.99%,"21,527,837",0.91%,1
ADBE,Information Technology,Adobe Incorporated,0.513583,379.49,"NDX, S&P 500 NDQ100",37.48,10.14,0.32%,459.00M,1.86%,172.43B,21.59,17.61,-3.62%,456.48M,10.48%,4.74B,2.68,3.79,84.10%,1.06% / 1.59,12.94%,18.00B,9.58,0.70%,-0.72%,4.85M,38.11%,30.95,12.28,17.70%,396.43,-16.58%,12.46,30.50,13.98%,33.50%,274.73 - 473.49,12.94%,-,23.56,24.50%,26.70%,-19.73%,1.30,-,1.10,19.20%,87.70%,38.35%,9.47,29239,1.10,9.20%,33.90%,61.86,1.40% 2.50%,Yes,0.26,1.70%,26.30%,0.89,385.37,Yes,0.26,Mar 15 AMC,0.00%,3.05M,380.08,2.20,6.41%,5.84%,7.86%,"2,711,975",-1.37%,1
PM,Consumer Staples,Philip Morris International Inc.,0.438879,98.44,S&P500,16.84,5.81,0.16%,1.55B,5.72%,150.97B,14.05,6.97,-6.24%,1.55B,-1.31%,9.02B,4.31,1.58,77.00%,0.62% / 2.03,-3.27%,31.76B,4.75,-0.20%,0.58%,9.54M,17.94%,-5.78,-,19.50%,113.38,4.22%,2.08,47.08,3.91%,-96.90%,82.85 - 109.81,-3.27%,5.08,78.88,3.50%,29.30%,-10.85%,0.71,5.19%,0.40,2.00%,64.60%,18.17%,1.80,79800,0.70,0.60%,38.60%,54.91,1.41% 1.68%,Yes,-,14.90%,28.40%,0.63,97.25,Yes,-,Apr 20 BMO,86.20%,4.71M,97.90,2.20,2.07%,-1.32%,1.29%,"2,959,704",0.67%,0
BMY,Health Care,Bristol-Myers Squibb Company,0.428994,69.62,S&P500,23.61,2.95,0.07%,2.11B,2.38%,144.23B,8.49,8.21,-17.58%,2.10B,0.56%,6.33B,5.81,2.10,79.40%,0.99% / 2.54,-3.14%,46.16B,3.12,-5.40%,-0.72%,20.81M,-1.97%,14.73,4.73,6.40%,81.09,-4.57%,4.47,15.59,4.06%,19.80%,65.28 - 81.43,-3.14%,2.28,19.72,4.50%,11.80%,-14.42%,0.44,3.27%,1.10,17.30%,78.20%,6.76%,1.12,34300,1.20,-4.80%,21.50%,58.91,1.21% 1.74%,Yes,1.27,-10.80%,13.70%,0.90,69.31,Yes,1.13,Apr 27 BMO,72.60%,8.18M,69.69,2.40,3.35%,-0.62%,-4.59%,"7,333,475",0.55%,1
CMCSA,Communication Services,Comcast Corporation Class A,0.464242,38.14,"NDX, S&P 500 NDQ100",31.91,1.19,0.74%,4.28B,4.42%,157.04B,9.27,4.10,-0.01%,4.16B,2.10%,5.37B,4.99,0.97,85.60%,1.14% / 2.41,8.69%,121.43B,1.29,-60.20%,-1.88%,47.33M,29.59%,18.93,2.01,2.00%,43.83,-18.82%,1.15,33.07,6.40%,6.20%,28.39 - 48.42,8.69%,1.16,14.22,-10.40%,5.40%,-21.50%,0.99,3.05%,0.80,7.40%,68.50%,33.89%,0.75,186000,0.80,0.70%,11.60%,61.22,1.30% 2.07%,Yes,1.24,6.30%,4.40%,1.00,37.91,Yes,1.21,Apr 27 BMO,89.60%,19.62M,38.01,2.40,4.82%,0.51%,4.83%,"19,668,401",0.26%,0
TXN,Information Technology,Texas Instruments Incorporated,0.490594,183.59,"NDX, S&P 500 NDQ100",19.58,9.40,0.21%,907.00M,4.02%,165.51B,21.82,8.44,-0.79%,905.72M,4.83%,8.71B,1.96,1.82,86.70%,1.94% / 3.28,11.46%,20.03B,8.26,13.80%,-1.37%,17.54M,18.98%,16.07,11.46,33.70%,183.45,0.37%,10.09,18.25,10.00%,60.90%,144.46 - 186.30,11.46%,4.96,101.79,20.80%,38.00%,-1.15%,1.02,2.69%,3.80,6.00%,68.80%,27.48%,3.99,33000,4.70,-3.40%,50.60%,61.05,1.72% 2.21%,Yes,0.60,-6.40%,43.50%,0.77,186.01,Yes,0.56,Jan 24 AMC,49.30%,5.35M,184.16,2.70,3.96%,4.46%,8.89%,"4,142,914",-0.99%,1
NKE,Consumer Discretionary,NIKE Inc. Class B,0.444725,121.25,"DJIA, S&P 500",35.10,3.47,0.20%,1.56B,3.28%,184.75B,30.03,4.05,-0.83%,939.15M,0.60%,5.48B,4.10,0.66,82.90%,1.13% / 1.67,3.98%,50.63B,3.65,5.50%,-0.25%,10.58M,46.38%,9.80,12.42,14.10%,134.14,-9.58%,6.99,17.39,8.56%,36.90%,82.22 - 139.14,3.98%,1.36,107.79,8.40%,24.60%,-12.56%,1.11,1.12%,1.80,6.30%,43.90%,47.98%,2.83,79100,2.70,17.20%,12.30%,52.61,1.66% 2.31%,Yes,0.62,2.40%,11.10%,0.76,122.64,Yes,0.58,Mar 21 AMC,33.20%,6.34M,121.67,2.20,1.52%,-0.63%,10.43%,"4,836,725",-0.79%,1
RTX,Industrials,Raytheon Technologies Corporation,0.417636,99.9,S&P500,28.64,3.51,0.09%,1.47B,3.79%,146.33B,17.28,5.82,-1.02%,1.45B,1.58%,5.22B,2.15,1.19,80.90%,0.68% / 2.04,-0.34%,67.07B,2.18,35.90%,-1.00%,9.81M,22.87%,49.55,2.03,3.30%,109.14,1.52%,4.28,23.53,13.34%,7.30%,80.27 - 106.02,-0.34%,2.20,83.52,-11.80%,4.50%,-5.13%,1.06,2.19%,0.80,2.30%,20.40%,25.30%,1.72,182000,1.10,6.20%,8.10%,60.66,1.03% 1.85%,Yes,0.44,114.30%,7.70%,0.90,97.93,Yes,0.42,Jan 24 BMO,61.30%,4.80M,100.58,2.20,3.49%,2.31%,6.74%,"4,307,725",2.71%,1
COP,Energy,ConocoPhillips,0.353463,108.61,S&P500,7.45,14.56,0.10%,1.24B,11.91%,132.19B,9.95,10.89,-0.50%,1.22B,0.42%,18.68B,-,2.30,83.40%,1.09% / 1.96,-7.55%,78.49B,1.68,140.30%,-0.14%,13.22M,7.26%,38.75,2.80,19.90%,131.56,12.21%,7.58,14.30,-8.36%,38.00%,76.24 - 136.78,-7.55%,5.34,10.64,65.60%,26.10%,-20.74%,1.33,4.93%,1.40,21.60%,47.80%,42.21%,3.70,9500,1.50,22.70%,34.20%,61.71,2.18% 3.16%,Yes,0.35,31.40%,23.80%,1.83,99.21,Yes,0.34,Feb 02 BMO,34.20%,6.76M,108.42,2.00,8.84%,1.55%,0.65%,"12,384,165",9.28%,0
HON,Industrials,Honeywell International Inc.,0.371734,192.01,"DJIA, NDX, S&P 500 NDQ100",26.58,7.27,0.10%,670.50M,2.81%,127.79B,19.24,10.04,-7.71%,667.32M,-1.80%,4.97B,3.36,2.23,75.90%,0.74% / 1.54,-9.81%,35.47B,3.60,-8.10%,0.09%,4.91M,15.76%,24.90,7.76,8.00%,218.79,-0.67%,15.29,12.64,7.90%,28.30%,166.63 - 220.96,-9.81%,4.12,71.43,4.20%,13.70%,-12.53%,1.09,2.13%,1.00,-2.60%,32.80%,15.99%,3.62,97000,1.30,6.10%,18.00%,52.81,1.34% 1.90%,Yes,1.17,-26.60%,14.00%,0.90,191.12,Yes,0.91,Feb 02 BMO,54.10%,3.19M,193.28,2.30,1.44%,-1.84%,-0.69%,"2,873,533",1.13%,1
AMGN,Health Care,Amgen Inc.,0.37579,242.61,"DJIA, NDX, S&P 500 NDQ100",20.17,12.12,0.21%,535.00M,3.24%,130.39B,12.91,18.93,-0.08%,532.74M,4.10%,6.55B,4.89,4.55,79.10%,1.43% / 3.03,-6.93%,26.32B,4.95,17.80%,-1.48%,7.61M,8.45%,6.84,35.74,10.60%,258.29,1.08%,17.44,14.01,4.12%,246.10%,223.30 - 296.67,-6.93%,8.52,28.41,2.00%,20.60%,-17.61%,0.64,3.49%,1.10,2.90%,75.70%,9.47%,4.29,25200,1.40,-0.10%,36.60%,60.78,1.20% 1.91%,Yes,10.64,-10.80%,24.90%,0.99,241.75,Yes,10.20,Jan 31 AMC,63.70%,2.51M,244.44,2.70,4.53%,1.89%,-2.74%,"2,478,689",1.11%,1
CRM,Information Technology,Salesforce Inc.,0.58158,196.3,"DJIA, S&P 500",953.83,0.21,0.10%,984.00M,2.73%,193.36B,22.12,8.88,-27.97%,967.51M,5.40%,208.00M,52.97,1.61,79.50%,1.11% / 1.17,48.19%,31.35B,6.17,-85.90%,-0.95%,10.74M,36.60%,59.31,3.31,0.20%,219.01,-7.46%,12.71,15.46,18.01%,0.40%,126.34 - 221.00,48.19%,-,30.63,-20.60%,0.10%,-11.09%,1.23,-,1.00,24.40%,73.30%,55.52%,4.66,79390,1.00,14.40%,1.70%,67.25,1.57% 2.39%,Yes,0.18,-250.30%,0.70%,0.58,199.78,Yes,0.16,Mar 01 AMC,0.00%,9.17M,196.49,2.10,5.36%,12.38%,21.32%,"5,327,540",-1.65%,1
T,Communication Services,AT&T Inc.,0.399445,19.37,S&P500,-,-1.26,0.14%,7.17B,2.76%,136.99B,7.74,2.51,0.00%,7.12B,3.08%,-8546.00M,-,0.60,54.40%,1.20% / 2.65,5.32%,120.74B,1.13,-139.30%,-0.91%,85.45M,26.40%,13.60,1.43,-1.90%,21.13,8.38%,0.52,37.01,0.76%,-6.90%,14.46 - 21.53,5.32%,1.11,53.98,-22.90%,-3.60%,-9.94%,0.62,5.72%,0.50,-5.50%,57.90%,34.09%,0.31,160700,0.60,0.80%,-3.80%,63.38,1.21% 1.61%,Yes,1.40,-600.00%,-7.20%,0.96,19.25,Yes,1.32,Jan 25 BMO,-,32.27M,19.39,2.60,4.30%,1.61%,4.81%,"31,095,908",0.73%,1
NFLX,Communication Services,Netflix Inc.,0.447901,348.02,"NDX, S&P 500 NDQ100",38.11,9.14,1.44%,445.20M,6.29%,151.94B,24.21,14.38,-0.06%,438.60M,10.50%,4.12B,2.39,3.08,80.30%,1.92% / 1.07,18.11%,31.62B,4.81,-14.40%,3.01%,8.41M,47.93%,46.67,7.46,9.60%,357.23,-7.02%,13.89,25.08,15.97%,23.10%,162.71 - 396.02,18.11%,-,93.87,44.90%,12.80%,-12.05%,1.27,-,1.20,22.00%,39.40%,114.05%,11.51,12800,1.20,1.90%,17.80%,65.15,2.66% 3.60%,Yes,0.69,-189.80%,14.20%,0.56,345.48,Yes,0.69,Apr 18 AMC,0.00%,7.86M,348.28,2.30,11.46%,4.36%,28.10%,"4,405,529",0.81%,1
UNP,Industrials,Union Pacific Corporation,0.358491,199.36,S&P500,17.79,11.22,0.10%,612.50M,3.27%,120.33B,15.82,12.62,-0.19%,609.91M,-4.69%,7.00B,1.97,2.90,80.60%,0.84% / 1.42,-3.64%,24.88B,4.84,12.70%,-1.13%,5.12M,2.42%,19.86,10.05,10.80%,221.77,-26.96%,1.69,118.09,9.05%,57.70%,183.69 - 274.44,-3.64%,5.20,46.59,13.10%,17.20%,-27.29%,1.11,2.61%,0.60,3.20%,76.40%,8.63%,4.65,33179,0.70,7.80%,39.90%,53.69,1.75% 2.24%,Yes,2.74,0.10%,28.10%,0.53,201.26,Yes,2.60,Apr 20 BMO,45.20%,3.60M,199.54,2.30,2.15%,-0.61%,-4.92%,"1,908,352",-0.85%,1
UPS,Industrials,United Parcel Service Inc. Class B,0.412148,193.53,S&P500,14.66,13.21,0.01%,865.00M,3.42%,163.48B,15.69,12.35,-56.93%,718.47M,4.33%,11.55B,3.68,2.81,72.50%,1.53% / 3.53,11.44%,100.34B,1.63,-10.10%,-0.46%,11.01M,19.92%,22.87,8.47,16.40%,192.96,-9.67%,9.00,21.52,3.99%,67.50%,154.87 - 215.21,11.44%,6.48,38.73,20.00%,24.90%,-9.99%,1.09,3.35%,1.20,8.50%,76.40%,25.08%,3.77,536000,1.20,-2.70%,13.00%,66.26,1.49% 2.12%,Yes,0.99,12.40%,11.50%,0.88,193.99,Yes,0.88,Apr 25 BMO,45.80%,3.12M,193.72,2.40,4.05%,4.96%,6.57%,"2,734,456",-0.14%,0
IBM,Information Technology,International Business Machines Corporation,0.345031,131.92,"DJIA, S&P 500",69.54,1.90,0.10%,905.86M,2.13%,118.08B,13.03,10.13,-4.40%,903.33M,1.87%,1.85B,10.43,2.08,58.50%,2.85% / 4.98,-6.27%,60.53B,1.95,-60.30%,1.46%,25.70M,11.15%,24.22,5.45,1.30%,146.12,1.57%,9.77,13.51,6.67%,8.10%,115.54 - 153.21,-6.27%,6.60,37.58,-29.90%,2.50%,-13.80%,0.85,5.00%,0.90,-5.20%,54.00%,14.29%,2.24,311300,0.90,0.00%,1.90%,60.13,1.24% 1.73%,Yes,2.32,14.70%,2.70%,0.74,131.09,Yes,2.10,Apr 19 BMO,362.90%,5.16M,132.06,2.50,4.23%,0.44%,-1.86%,"3,838,540",0.74%,1
SCHW,Financials,Charles Schwab Corp,0.232585,51.61,S&P500,14.71,3.50,6.12%,1.86B,-6.00%,95.17B,10.54,4.89,-1.14%,1.69B,-33.38%,6.63B,0.98,0.93,88.50%,0.93% / 0.72,-38.06%,22.31B,4.27,24.00%,-0.58%,15.78M,-28.25%,14.43,3.57,1.10%,79.62,-38.83%,21.78,2.37,15.05%,21.30%,45.00 - 86.63,-38.06%,1.00,-,16.30%,1.70%,-40.47%,0.91,1.94%,-,20.00%,93.10%,14.60%,3.41,35300,-,30.50%,42.10%,31.10,3.83% 6.86%,Yes,15.04,27.70%,29.70%,1.13,52.38,Yes,0.77,Apr 17 BMO,23.90%,21.95M,51.57,2.10,-12.75%,-27.27%,-29.17%,"24,788,260",-1.55%,0
LOW,Consumer Discretionary,Lowe's Companies Inc.,0.352021,203.75,S&P500,20.39,10.01,0.08%,602.00M,7.06%,117.20B,13.85,14.73,-14.58%,594.99M,2.13%,6.41B,2.64,3.49,78.40%,1.44% / 2.76,2.38%,97.06B,1.21,-15.50%,-3.67%,8.56M,8.62%,-23.68,-,13.70%,229.17,0.89%,-,-,7.73%,-60.50%,170.12 - 223.31,2.38%,4.20,26.70,19.80%,38.40%,-8.65%,1.08,2.06%,0.10,7.20%,33.20%,19.91%,4.70,182000,1.10,5.20%,10.50%,60.03,1.81% 2.28%,Yes,-,-10.90%,6.60%,1.12,199.97,Yes,-,Mar 01 BMO,28.90%,3.10M,203.99,2.30,4.20%,0.58%,3.05%,"3,460,559",2.01%,0
ORCL,Information Technology,Oracle Corporation,0.415722,93.81,S&P500,30.86,3.04,42.60%,2.70B,4.19%,246.99B,16.83,5.58,-0.06%,1.54B,5.23%,8.37B,3.41,1.58,42.70%,0.93% / 1.99,14.90%,47.96B,5.15,-47.00%,0.30%,14.37M,53.79%,-0.90,-,6.70%,96.54,13.53%,3.33,28.17,9.06%,-178.50%,60.78 - 93.00,14.90%,1.60,64.02,1.50%,14.40%,0.99%,0.99,1.70%,0.80,2.30%,74.50%,54.52%,1.88,143000,0.80,17.90%,28.10%,71.22,1.82% 2.20%,Yes,-,-18.90%,17.50%,1.16,92.92,Yes,-,Mar 09 AMC,41.00%,7.23M,93.92,2.60,7.19%,6.78%,19.90%,"8,395,572",1.08%,1
CAT,Industrials,Caterpillar Inc.,0.346683,229.63,"DJIA, S&P 500",18.18,12.64,0.15%,517.30M,5.44%,116.46B,13.36,17.21,-11.95%,511.18M,-9.96%,6.71B,1.38,3.88,70.90%,1.46% / 2.22,-4.04%,59.43B,1.96,7.50%,-1.88%,7.45M,40.10%,30.68,7.49,8.20%,247.58,3.16%,13.82,16.63,13.22%,41.70%,160.60 - 266.04,-4.04%,4.80,28.90,19.40%,11.00%,-13.60%,1.09,2.09%,0.90,5.50%,30.80%,43.13%,5.96,109100,1.40,20.30%,13.30%,50.60,1.43% 2.59%,Yes,2.33,-27.40%,11.30%,0.67,228.84,Yes,1.62,Jan 31 BMO,36.30%,3.35M,229.87,2.70,1.39%,-4.25%,8.24%,"2,239,566",0.45%,1
QCOM,Information Technology,QUALCOMM Incorporated,0.414935,124.62,"NDX, S&P 500 NDQ100",11.93,10.46,0.10%,1.12B,0.92%,138.89B,10.94,11.40,-6.67%,1.11B,0.92%,11.86B,-,2.17,74.10%,0.93% / 1.33,13.46%,42.96B,3.23,45.10%,-0.30%,10.31M,10.41%,16.76,7.44,24.70%,152.57,-18.37%,7.40,16.86,-7.25%,71.10%,101.93 - 156.66,13.46%,3.00,29.13,47.40%,41.20%,-20.38%,1.27,2.41%,1.40,14.70%,57.20%,22.38%,3.50,51000,2.10,-11.60%,33.50%,52.65,2.20% 2.78%,Yes,0.90,-32.50%,27.40%,0.82,127.58,Yes,0.82,Feb 02 AMC,27.90%,7.76M,124.74,2.20,2.90%,-1.21%,-1.21%,"6,354,995",-2.23%,1
