,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cedear
AKAM,Information Technology,Akamai Technologies Inc.,0.044501,96.59,S&P500,25.90,3.72,0.40%,160.49M,0.06%,15.02B,15.95,6.04,-13.52%,157.60M,3.64%,615.10M,2.43,1.31,97.50%,7.41%,-2.42%,3.52B,4.26,16.60%,0.07%,6.58,-15.97%,26.80,3.59,7.60%,119.92,-15.08%,3.25,29.63,10.66%,13.80%,85.90 - 123.25,-17.74%,-,13.85,16.60%,11.10%,-21.88%,0.64,-,1.70,8.10%,63.20%,12.08%,1.98,8700,1.70,7.20%,22.00%,59.21,1.57% 2.12%,Yes,0.55,-22.50%,17.50%,0.47,96.21,Yes,0.53,Aug 09 AMC,0.00%,1.78M,96.28,2.30,4.49%,2.26%,-10.11%,"839,748",0.07%,0
FDS,Financials,FactSet Research Systems Inc.,0.045703,423.31,S&P500,41.57,10.18,0.11%,37.93M,-1.48%,15.30B,28.75,14.73,-51.02%,37.86M,5.34%,393.60M,2.57,3.20,92.50%,1.69%,10.63%,1.76B,8.71,7.40%,0.55%,2.44,0.98%,33.42,12.67,14.40%,421.77,17.92%,15.51,27.29,16.20%,34.20%,345.92 - 495.39,-12.90%,3.56,38.35,4.80%,25.50%,-14.55%,0.79,0.84%,2.10,7.10%,52.90%,22.37%,9.03,10691,2.10,22.30%,26.30%,63.73,1.72% 2.18%,Yes,1.66,-26.00%,22.40%,0.54,424.78,Yes,1.66,Jun 23 BMO,32.20%,261.33K,423.31,3.00,3.74%,8.86%,0.76%,"140,674",-0.35%,0
CAH,Health Care,Cardinal Health Inc.,0.048017,61.15,S&P500,-,-3.55,0.30%,275.00M,3.27%,16.35B,11.41,5.39,0.00%,271.23M,16.61%,-955.00M,-,1.18,89.80%,2.41%,6.29%,176.85B,0.09,116.50%,0.30%,2.76,19.60%,-2.53,-,-2.20%,60.00,21.63%,8.86,6.94,3.62%,-109.60%,45.85 - 64.53,19.46%,1.98,-,-13.60%,9.30%,-4.68%,0.86,3.22%,0.50,6.00%,3.60%,34.15%,1.22,47300,1.10,14.20%,-0.30%,78.43,2.18% 2.03%,Yes,-,-92.20%,-0.50%,0.82,60.24,Yes,-,Aug 11 BMO,-,2.37M,61.51,2.80,8.62%,12.16%,14.52%,"1,945,815",2.11%,1
DPZ,Consumer Discretionary,Domino's Pizza Inc.,0.041011,387.0,S&P500,30.19,12.85,0.50%,35.91M,-1.07%,13.95B,25.85,15.01,-7.48%,35.67M,-4.34%,469.50M,3.21,3.01,98.62%,5.30%,13.53%,4.42B,3.16,9.30%,0.58%,3.39,-12.59%,-116.39,-,27.70%,430.30,-27.55%,7.74,50.10,9.41%,-11.20%,321.15 - 567.57,-31.26%,4.40,50.58,25.80%,77.30%,-31.65%,0.61,1.13%,1.30,12.00%,37.30%,20.79%,9.33,13500,1.50,3.20%,16.90%,45.11,1.66% 2.52%,Yes,-,-7.70%,10.60%,0.74,391.34,Yes,-,Jul 21 BMO,31.40%,556.40K,387.93,2.50,-2.32%,0.08%,-10.16%,"413,498",-0.87%,0
GRMN,Consumer Discretionary,Garmin Ltd.,0.041802,97.85,S&P500,18.60,5.25,0.40%,193.07M,-0.02%,18.04B,16.51,5.91,-2.13%,154.68M,-6.17%,1.01B,3.32,1.23,54.50%,1.66%,-10.25%,5.00B,3.61,8.40%,0.19%,2.58,-21.98%,30.38,3.21,13.10%,116.20,-40.45%,8.73,11.18,5.60%,16.90%,92.31 - 178.80,-28.32%,2.92,-,15.40%,17.90%,-45.42%,0.98,2.99%,1.60,10.30%,57.20%,5.73%,2.93,18700,2.50,-6.50%,22.40%,45.23,2.00% 2.49%,Yes,0.00,-18.90%,20.30%,0.58,97.81,Yes,0.00,Jul 27 BMO,93.60%,997.16K,97.60,-,-2.96%,-2.83%,-17.91%,"578,670",-0.21%,1
DRI,Consumer Discretionary,Darden Restaurants Inc.,0.046272,123.58,S&P500,16.66,7.42,0.30%,124.50M,-0.73%,14.95B,14.42,8.57,-7.66%,123.48M,5.37%,954.70M,1.89,1.56,92.30%,3.91%,-3.08%,9.63B,1.55,54.20%,0.04%,3.76,-10.83%,17.66,7.00,9.20%,137.60,-14.46%,3.48,35.53,8.81%,39.00%,110.96 - 164.28,-17.96%,4.84,47.27,14.10%,24.80%,-24.77%,1.33,3.92%,0.50,6.10%,20.70%,11.37%,3.45,178956,0.60,14.20%,12.10%,54.52,2.11% 2.57%,Yes,0.88,-19.40%,9.90%,0.52,125.78,Yes,0.87,Jun 23 BMO,60.30%,1.28M,123.58,2.10,2.68%,3.34%,-7.77%,"666,007",-1.75%,0
INCY,Health Care,Incyte Corporation,0.038432,71.79,S&P500,17.18,4.20,0.50%,221.33M,-7.11%,16.60B,15.69,4.60,297.16%,218.00M,-10.67%,933.00M,1.15,0.76,95.90%,3.13%,-6.63%,3.11B,5.33,415.00%,0.41%,4.55,-1.22%,17.45,4.14,20.60%,91.88,-6.19%,11.06,6.53,14.90%,27.20%,61.91 - 84.86,-1.69%,-,27.25,51.40%,25.30%,-14.97%,0.65,-,3.70,22.00%,95.40%,16.56%,2.17,2094,3.70,21.30%,19.40%,33.13,2.89% 2.47%,Yes,0.01,-29.40%,30.00%,0.98,71.91,Yes,0.01,Aug 02 BMO,0.00%,1.50M,72.16,2.10,-8.63%,-5.42%,-1.44%,"1,463,331",0.35%,0
TRMB,Information Technology,Trimble Inc.,0.050215,68.52,S&P500,35.41,1.92,0.40%,250.80M,-1.92%,16.15B,21.44,3.18,-1.88%,249.21M,12.92%,488.50M,3.54,0.62,95.60%,1.71%,7.63%,3.77B,4.29,25.40%,0.80%,3.66,-3.73%,15.90,4.28,6.90%,84.43,-23.84%,1.51,45.22,10.00%,12.50%,55.35 - 96.49,-21.89%,-,25.83,30.00%,9.10%,-29.42%,1.56,-,0.90,9.10%,55.50%,23.04%,2.16,11931,1.30,12.10%,15.30%,61.20,3.64% 3.04%,Yes,0.00,-3.10%,13.00%,1.34,70.30,Yes,0.32,Aug 05 BMO,0.00%,1.16M,68.10,2.10,7.36%,8.32%,-6.04%,"1,552,614",-3.13%,0
WRB,Financials,W. R. Berkley Corporation,0.036532,61.83,S&P500,13.01,4.75,5.40%,276.77M,-1.12%,16.70B,12.77,4.84,0.04%,201.94M,-8.47%,1.33B,1.45,0.89,69.30%,1.29%,-8.46%,10.43B,1.60,95.00%,-0.28%,1.78,5.07%,24.80,2.49,3.20%,76.73,30.29%,7.83,7.89,9.00%,15.30%,46.17 - 71.77,13.43%,0.40,9.48,11.90%,11.60%,-13.85%,0.66,0.65%,-,4.30%,-,33.91%,1.51,7681,-,35.20%,13.50%,41.24,1.71% 2.19%,Yes,0.41,158.30%,9.80%,0.66,61.18,Yes,0.41,Jul 21 AMC,9.20%,1.47M,61.83,2.30,-2.58%,-6.92%,1.60%,"971,288",1.06%,0
CPT,Real Estate,Camden Property Trust,0.041737,136.63,S&P500,41.36,3.32,0.90%,108.11M,-2.71%,14.08B,51.19,2.68,-0.10%,105.46M,2.33%,352.70M,1.64,0.55,96.00%,1.30%,-8.81%,1.19B,11.85,138.20%,0.40%,1.67,-16.91%,47.24,2.91,9.70%,162.84,-7.91%,0.70,195.22,25.29%,18.80%,125.17 - 180.37,-23.17%,3.76,-,-9.20%,1.70%,-23.89%,0.78,2.74%,-,5.50%,61.40%,9.67%,2.88,1700,-,-33.50%,51.70%,53.46,2.19% 1.91%,Yes,0.73,655.00%,69.00%,0.93,137.11,Yes,0.66,Jul 28 AMC,46.20%,819.87K,137.28,2.10,1.66%,1.20%,-12.47%,"765,098",0.12%,0
EXPE,Consumer Discretionary,Expedia Group Inc.,0.043748,102.52,S&P500,81.75,1.25,0.40%,156.34M,-3.33%,15.76B,10.72,9.56,-16.56%,150.88M,6.02%,215.00M,3.59,1.58,98.40%,4.95%,-26.51%,9.60B,1.64,90.50%,0.17%,2.20,-44.18%,13.29,7.71,0.90%,177.32,-36.59%,36.12,2.84,22.80%,12.60%,88.70 - 217.72,-43.27%,-,4.03,-24.40%,3.90%,-52.91%,1.62,-,0.90,-0.40%,83.50%,15.58%,4.73,14800,0.90,80.50%,9.10%,50.05,4.43% 4.05%,Yes,3.71,81.30%,2.20%,2.18,102.20,Yes,3.71,Aug 04 AMC,0.00%,3.39M,102.52,2.50,3.53%,-3.47%,-35.08%,"7,373,353",0.31%,0
SYF,Financials,Synchrony Financial,0.048381,33.9,S&P500,4.95,6.85,0.50%,493.00M,1.25%,15.89B,6.10,5.56,-4.52%,479.69M,14.95%,3.65B,0.14,1.41,-,2.36%,-13.81%,16.05B,0.99,222.90%,0.88%,1.68,-19.76%,25.68,1.32,3.90%,42.05,-29.80%,22.79,1.49,35.92%,28.40%,27.22 - 52.49,-26.92%,0.92,2.42,22.10%,44.60%,-35.42%,1.56,2.71%,-,0.70%,-,24.56%,1.10,18000,-,13.90%,82.60%,60.36,2.46% 3.28%,Yes,0.96,-24.40%,22.70%,0.45,33.76,Yes,0.96,Jul 18 BMO,12.90%,6.74M,33.90,2.10,5.62%,6.49%,-15.08%,"3,043,482",0.41%,0
LDOS,Industrials,Leidos Holdings Inc.,0.039648,100.55,S&P500,19.79,5.08,0.60%,139.00M,-6.03%,13.26B,14.05,7.16,-8.47%,135.41M,-0.96%,723.00M,3.00,1.56,82.80%,0.83%,-3.37%,13.92B,0.95,20.70%,-0.61%,1.52,11.75%,28.45,3.53,5.50%,117.90,6.68%,2.25,44.64,6.60%,17.60%,81.07 - 111.12,13.10%,1.44,22.90,17.50%,10.00%,-9.51%,0.72,1.43%,0.90,14.30%,14.80%,24.03%,2.28,43000,1.00,5.40%,8.00%,47.34,2.47% 1.88%,Yes,1.30,-12.20%,5.20%,0.55,99.31,Yes,1.16,Aug 02 BMO,27.60%,737.71K,100.55,2.00,-0.76%,-0.76%,2.36%,"406,214",1.25%,0
IRM,Real Estate,Iron Mountain Inc.,0.040372,52.49,S&P500,34.09,1.53,0.80%,290.33M,7.86%,14.74B,28.64,1.83,-5.26%,288.04M,6.73%,446.90M,5.29,0.40,79.10%,6.12%,-4.18%,4.66B,3.17,30.30%,-0.21%,9.96,13.97%,2.61,20.04,3.00%,54.33,18.30%,0.69,75.34,6.44%,47.90%,41.67 - 58.61,-0.06%,2.47,-,30.40%,6.60%,-10.77%,0.83,4.73%,0.90,5.00%,69.40%,25.51%,1.27,26750,0.90,15.30%,19.40%,69.87,3.19% 2.36%,Yes,13.60,-8.00%,9.60%,1.17,48.94,Yes,13.48,Aug 04 BMO,120.20%,1.77M,52.30,2.10,10.60%,6.52%,6.13%,"2,061,528",6.87%,0
PEAK,Real Estate,Healthpeak Properties Inc.,0.041128,26.9,S&P500,46.02,0.58,0.30%,539.35M,-4.05%,13.93B,55.11,0.48,0.00%,537.99M,0.42%,312.30M,15.87,0.10,99.60%,1.76%,-15.79%,1.94B,7.18,-20.10%,0.17%,2.09,-22.03%,11.88,2.23,2.90%,32.82,-29.04%,0.17,156.29,2.90%,6.50%,23.23 - 37.37,-26.54%,1.20,-,-22.50%,0.70%,-29.06%,0.78,4.53%,-,-2.30%,59.00%,14.12%,0.61,196,-,9.50%,13.20%,45.88,2.28% 2.10%,Yes,0.99,154.80%,22.10%,0.78,26.88,Yes,0.99,Aug 02 AMC,150.90%,4.54M,26.51,2.20,-0.58%,-0.76%,-17.22%,"3,539,102",-1.38%,0
AES,Utilities,AES Corporation,0.043515,24.3,S&P500,-,-0.44,0.30%,711.00M,9.00%,14.81B,13.84,1.75,1.53%,665.63M,13.12%,-150.00M,-,0.32,95.40%,2.10%,13.55%,11.36B,1.30,5.30%,-0.21%,2.57,11.31%,3.10,7.81,-0.40%,27.05,-2.54%,2.45,9.90,8.00%,-6.60%,18.62 - 26.52,-0.33%,0.63,-,2.48%,-1.50%,-8.67%,0.97,2.61%,0.90,1.60%,22.70%,30.08%,0.73,8450,1.10,8.20%,-1.30%,74.93,2.88% 2.96%,Yes,9.18,172.80%,-1.30%,1.57,23.00,Yes,8.16,Aug 04 AMC,-,5.44M,24.22,1.80,14.98%,14.90%,6.90%,"8,552,814",5.30%,0
VFC,Consumer Discretionary,V.F. Corporation,0.041468,45.85,S&P500,14.76,3.09,0.20%,387.60M,2.22%,18.61B,13.07,3.50,3.08%,367.24M,-0.35%,1.22B,0.66,1.02,86.50%,4.98%,-6.97%,11.84B,1.57,242.40%,-0.90%,5.08,-28.26%,9.11,5.01,10.30%,54.14,-43.31%,3.13,14.58,22.50%,39.70%,43.08 - 81.78,-37.63%,2.00,-,11.30%,14.70%,-44.16%,1.43,4.38%,1.00,7.10%,54.50%,6.01%,1.55,35000,1.40,9.40%,13.20%,48.35,2.50% 3.05%,Yes,1.54,31.80%,11.80%,0.56,45.15,Yes,1.30,Jul 28 AMC,55.20%,3.60M,45.67,2.50,-0.76%,-2.27%,-23.17%,"2,019,325",1.15%,0
SJM,Consumer Staples,J.M. Smucker Company,0.040954,133.08,S&P500,22.79,5.84,0.80%,107.30M,0.57%,13.87B,14.40,9.24,0.00%,101.82M,0.14%,629.90M,14.20,1.27,84.50%,4.69%,-3.28%,8.00B,1.73,-25.10%,-1.02%,4.97,-5.20%,75.86,1.75,3.90%,131.00,3.63%,1.63,81.64,1.60%,7.70%,118.55 - 146.74,-2.02%,4.08,46.13,2.70%,6.40%,-9.31%,0.24,3.07%,0.50,1.60%,34.00%,12.26%,2.59,6700,1.00,5.90%,12.60%,56.09,1.60% 1.85%,Yes,0.55,39.40%,7.90%,0.58,133.11,Yes,0.53,Jun 07 BMO,66.20%,960.51K,133.08,3.10,0.95%,3.30%,0.11%,"554,965",-0.02%,0
XYL,Industrials,Xylem Inc.,0.049987,97.22,S&P500,41.78,2.33,0.30%,180.20M,5.64%,16.60B,31.11,3.12,-2.69%,177.65M,21.03%,422.00M,2.23,0.54,93.90%,2.33%,12.68%,5.21B,3.19,67.70%,-0.04%,3.94,6.08%,17.75,5.48,5.00%,85.54,-23.76%,-,-,18.76%,13.50%,72.08 - 138.78,-18.93%,1.20,286.16,10.20%,8.90%,-29.95%,1.10,1.23%,1.20,6.60%,37.50%,34.88%,2.44,17300,1.60,1.30%,10.90%,78.54,2.35% 2.44%,Yes,0.76,-5.50%,8.10%,0.74,97.70,Yes,0.59,Aug 02 BMO,48.70%,1.05M,97.22,2.90,15.28%,18.78%,-0.53%,"776,046",-0.49%,0
POOL,Consumer Discretionary,Pool Corporation,0.042215,373.64,S&P500,19.34,19.32,0.70%,40.06M,4.46%,14.85B,20.45,18.27,0.29%,39.25M,-3.61%,776.10M,1.14,4.53,98.90%,7.71%,-6.72%,5.92B,2.51,79.10%,0.10%,6.46,-18.43%,30.68,12.18,23.20%,414.75,-23.25%,2.30,162.28,17.00%,69.60%,324.14 - 582.27,-33.99%,4.00,-,35.90%,29.20%,-35.83%,0.90,1.07%,1.00,15.50%,31.80%,15.27%,13.21,5500,2.80,15.00%,17.20%,53.63,2.73% 3.36%,Yes,1.30,19.70%,13.10%,0.72,370.72,Yes,1.28,Jul 21 BMO,17.50%,468.50K,373.64,2.00,1.85%,0.59%,-17.47%,"336,329",0.79%,0
NTAP,Information Technology,NetApp Inc.,0.045911,73.25,S&P500,17.69,4.09,0.10%,223.00M,1.46%,15.84B,11.97,6.05,-19.35%,219.24M,11.70%,937.00M,2.01,1.10,93.00%,2.52%,-1.01%,6.32B,2.51,26.70%,0.21%,3.18,-17.72%,3.76,19.25,9.90%,86.53,-11.18%,18.89,3.83,8.80%,117.20%,61.26 - 96.82,-21.33%,2.00,29.38,19.00%,28.80%,-25.25%,1.22,2.76%,1.50,2.80%,66.80%,18.14%,1.58,12000,1.50,8.00%,18.30%,64.63,1.62% 2.21%,Yes,3.15,-22.50%,14.80%,0.48,72.11,Yes,2.85,Jun 01 AMC,47.10%,1.74M,72.37,2.50,5.46%,6.77%,-10.40%,"837,440",0.36%,0
TER,Information Technology,Teradyne Inc.,0.047166,101.32,S&P500,21.22,4.75,0.40%,162.05M,-0.14%,15.67B,19.22,5.24,-6.18%,158.76M,10.09%,840.50M,3.84,1.05,-,2.77%,-7.15%,3.43B,4.57,29.00%,0.16%,2.50,-9.93%,15.27,6.60,26.70%,114.11,-20.41%,6.92,14.55,5.53%,40.20%,82.97 - 168.91,-38.39%,0.44,17.41,94.40%,38.40%,-40.35%,1.51,0.44%,3.00,16.10%,60.00%,21.43%,3.72,5900,3.30,-3.40%,34.10%,56.64,2.71% 3.75%,Yes,0.04,-15.70%,29.60%,0.95,101.71,Yes,0.03,Jul 26 AMC,6.50%,1.76M,100.75,2.20,3.69%,3.71%,-17.00%,"1,667,292",-0.94%,0
PAYC,Information Technology,Paycom Software Inc.,0.049239,370.0,S&P500,96.41,3.84,8.40%,58.01M,11.96%,21.60B,53.13,6.96,-0.44%,51.10M,13.50%,223.30M,3.76,1.12,76.10%,1.71%,22.91%,1.14B,19.00,36.80%,0.28%,2.05,17.58%,17.39,21.28,5.50%,371.89,-19.08%,6.18,59.90,25.66%,25.40%,255.82 - 558.97,-10.88%,-,99.41,23.20%,21.00%,-33.81%,1.49,-,1.10,26.20%,84.70%,44.64%,15.55,5385,1.10,29.90%,25.10%,71.25,4.63% 4.66%,Yes,0.03,42.70%,19.60%,1.31,360.77,Yes,0.03,Aug 02 AMC,0.00%,427.24K,370.01,2.00,15.61%,22.73%,4.34%,"558,025",2.56%,0
IEX,Industrials,IDEX Corporation,0.045508,211.93,S&P500,31.55,6.72,0.20%,75.80M,1.52%,15.30B,25.36,8.36,0.00%,74.91M,13.11%,512.70M,2.63,2.00,-,1.52%,11.68%,2.97B,5.15,19.00%,-0.55%,2.85,4.59%,36.78,5.76,10.40%,223.29,-6.68%,7.72,27.44,12.00%,18.30%,172.18 - 240.33,-10.32%,2.40,56.87,10.70%,12.70%,-11.82%,1.04,1.13%,2.10,5.50%,44.60%,23.08%,4.19,7536,3.00,16.10%,23.40%,76.35,1.60% 2.09%,Yes,0.00,35.80%,17.20%,1.09,210.93,Yes,0.43,Jul 27 BMO,32.90%,401.25K,211.93,2.20,9.02%,12.12%,3.64%,"437,947",0.47%,0
UDR,Real Estate,UDR Inc.,0.039769,46.76,S&P500,97.42,0.48,0.60%,318.35M,-3.39%,14.60B,97.62,0.48,0.00%,316.05M,2.45%,149.70M,-,0.08,-,1.95%,-7.61%,1.40B,10.39,137.40%,-0.73%,2.91,-18.72%,12.01,3.89,1.40%,53.25,-15.40%,0.00,16218.97,-,4.40%,42.00 - 61.06,-22.05%,1.52,54.02,10.60%,2.50%,-23.42%,0.74,3.25%,-,6.10%,65.30%,11.33%,1.03,1219,-,18.60%,18.20%,54.08,2.34% 2.05%,Yes,1.44,-65.30%,10.70%,0.70,46.66,Yes,1.36,Jul 26 AMC,303.70%,2.12M,46.76,2.30,2.06%,1.97%,-12.61%,"1,471,843",0.21%,0
STX,Information Technology,Seagate Technology Holdings PLC,0.045868,80.7,S&P500,11.04,7.33,0.62%,218.00M,1.21%,17.11B,9.16,8.83,-61.96%,213.52M,8.67%,1.65B,0.86,1.41,82.90%,6.13%,-2.14%,11.66B,1.47,41.60%,0.04%,6.59,-25.16%,1.93,41.94,20.50%,86.20,-10.95%,5.38,15.03,12.79%,337.40%,67.36 - 117.67,-28.35%,2.80,21.02,45.50%,25.30%,-31.21%,1.10,3.46%,1.00,-0.90%,29.70%,20.18%,2.67,40000,1.50,2.60%,17.70%,58.42,2.60% 3.28%,Yes,13.41,12.30%,15.80%,0.62,80.39,Yes,13.33,Jul 21 AMC,33.40%,1.99M,80.95,-,3.61%,4.14%,-12.35%,"1,222,293",0.70%,0
BRO,Financials,Brown & Brown Inc.,0.042676,64.9,S&P500,30.02,2.16,2.40%,277.20M,-0.31%,17.76B,25.23,2.57,0.25%,235.06M,7.36%,601.40M,2.27,0.60,75.60%,1.76%,10.07%,3.25B,5.46,22.70%,0.27%,2.53,-2.61%,15.45,4.20,5.60%,70.22,19.74%,8.76,7.41,13.22%,14.20%,52.91 - 74.00,-7.66%,0.41,26.46,17.90%,10.30%,-12.30%,0.80,0.63%,1.80,11.60%,-,22.66%,1.33,12023,1.80,-45.60%,27.10%,65.19,1.75% 1.98%,Yes,0.99,-57.10%,18.50%,0.34,64.31,Yes,0.97,Jul 25 AMC,18.40%,1.63M,64.90,2.60,5.43%,9.74%,1.11%,"562,958",0.92%,0
TECH,Health Care,Bio-Techne Corporation,0.043176,382.97,S&P500,69.86,5.48,0.60%,39.27M,-0.60%,14.60B,41.72,9.18,-2.72%,38.95M,4.00%,225.40M,4.66,2.08,97.00%,1.96%,-0.82%,1.08B,13.57,-40.40%,-0.42%,3.09,-6.50%,43.65,8.77,9.90%,500.99,-21.95%,6.06,63.16,15.00%,13.60%,318.07 - 543.85,-25.97%,1.28,57.99,4.40%,12.00%,-29.58%,1.22,0.33%,2.80,13.30%,68.00%,20.40%,12.07,2600,3.60,19.20%,26.40%,59.38,3.09% 3.23%,Yes,0.15,31.70%,20.90%,0.71,390.90,Yes,0.14,Aug 04 BMO,22.30%,247.85K,382.97,1.80,4.61%,7.20%,-7.87%,"177,165",-2.03%,0
GNRC,Industrials,Generac Holdings Inc.,0.043635,248.59,S&P500,32.87,7.55,1.50%,63.45M,-7.52%,14.47B,17.76,13.97,-4.52%,62.09M,7.75%,486.20M,2.44,2.62,90.80%,8.77%,-4.76%,4.07B,3.56,51.50%,-0.42%,5.13,-9.92%,36.38,6.82,10.90%,374.84,-38.54%,3.53,70.25,13.47%,24.40%,197.94 - 524.31,-29.49%,-,105.01,40.60%,18.30%,-52.67%,1.25,-,0.70,20.90%,34.40%,25.36%,13.26,8955,1.70,40.70%,16.90%,53.30,6.96% 4.97%,Yes,0.47,-32.40%,12.00%,0.86,243.59,Yes,0.43,Aug 03 BMO,0.00%,1.06M,248.13,1.60,3.96%,3.76%,-18.65%,"909,002",1.86%,0
FMC,Materials,FMC Corporation,0.03829,106.33,S&P500,16.33,6.51,0.50%,126.06M,-4.29%,13.23B,12.30,8.64,-1.91%,124.59M,1.80%,834.80M,1.70,1.89,91.60%,1.14%,-10.30%,5.20B,2.54,40.40%,-0.40%,1.57,-3.95%,24.27,4.38,7.10%,134.06,14.05%,2.93,36.24,9.58%,24.80%,87.27 - 140.99,-3.24%,2.12,96.43,45.60%,15.40%,-24.58%,0.85,1.99%,1.00,14.70%,42.90%,21.84%,2.77,6400,1.40,13.00%,20.90%,46.78,2.70% 2.34%,Yes,1.23,20.00%,14.60%,0.92,106.05,Yes,0.89,Aug 02 AMC,33.10%,902.25K,106.33,2.40,0.52%,-3.35%,-6.54%,"833,986",0.26%,0
TYL,Information Technology,Tyler Technologies Inc.,0.048184,418.92,S&P500,99.20,4.22,0.80%,41.36M,4.99%,16.30B,51.46,8.14,-3.46%,41.01M,20.68%,178.90M,9.92,1.88,92.80%,1.07%,10.18%,1.82B,8.97,-18.50%,-0.07%,1.57,-9.20%,57.72,7.26,3.40%,480.88,-15.20%,7.41,56.54,10.00%,7.20%,300.85 - 557.55,-22.13%,-,48.24,5.50%,5.00%,-24.86%,0.89,-,1.10,15.90%,42.30%,39.25%,11.72,6959,1.10,54.70%,9.90%,76.25,2.42% 3.11%,Yes,0.55,7.10%,8.90%,0.72,415.19,Yes,0.54,Jul 27 AMC,0.00%,279.52K,418.92,2.10,14.40%,19.91%,-3.32%,"201,150",0.90%,0
WDC,Information Technology,Western Digital Corporation,0.044509,47.06,S&P500,8.13,5.79,0.60%,313.00M,-4.09%,14.55B,5.80,8.11,-0.86%,311.79M,4.97%,1.82B,0.36,1.74,81.70%,2.96%,-23.04%,19.18B,0.76,416.70%,-1.53%,2.63,-9.94%,38.29,1.23,7.00%,67.87,-29.79%,8.11,5.81,22.80%,15.80%,41.63 - 69.99,-27.79%,-,10.31,21.60%,5.70%,-32.72%,1.49,-,1.30,5.40%,32.70%,13.12%,1.95,65600,2.10,5.90%,13.10%,45.05,4.05% 3.59%,Yes,0.60,-87.40%,9.50%,1.73,49.91,Yes,0.59,Aug 05 BMO,0.00%,3.50M,47.09,2.00,-1.43%,-6.31%,-12.79%,"6,042,848",-5.65%,0
AVY,Materials,Avery Dennison Corporation,0.045564,193.29,S&P500,21.13,9.15,0.60%,82.40M,1.49%,15.27B,18.09,10.69,0.00%,81.19M,15.63%,759.50M,3.04,2.46,95.50%,0.96%,7.82%,8.95B,1.71,33.60%,-0.65%,1.48,0.08%,23.45,8.24,9.70%,210.83,-8.78%,1.86,103.83,6.95%,40.20%,151.62 - 229.24,-10.75%,3.00,26.74,20.10%,14.70%,-15.68%,0.97,1.55%,0.70,6.70%,27.10%,27.48%,4.25,36000,1.10,14.50%,11.00%,74.45,1.82% 2.21%,Yes,1.69,-4.40%,8.30%,0.72,193.53,Yes,1.44,Jul 27 BMO,29.80%,525.49K,193.29,2.00,9.57%,13.39%,3.10%,"376,558",-0.12%,1
BBY,Consumer Discretionary,Best Buy Co. Inc.,0.04414,76.38,S&P500,8.46,9.02,0.50%,226.80M,-0.79%,16.64B,9.91,7.71,9.79%,200.83M,7.74%,2.20B,1.26,1.36,82.40%,5.98%,-17.17%,50.77B,0.33,44.00%,-1.30%,3.24,-21.34%,12.20,6.26,12.30%,78.95,-33.80%,2.94,26.00,6.70%,61.10%,64.29 - 141.97,-24.82%,3.52,64.00,21.30%,58.00%,-46.20%,1.53,4.61%,0.20,5.60%,22.20%,18.81%,2.75,105000,1.00,-8.50%,5.40%,54.16,2.61% 3.43%,Yes,0.43,-35.60%,4.30%,0.36,76.29,Yes,0.42,May 24 BMO,30.80%,3.71M,76.38,2.60,2.54%,3.16%,-19.82%,"1,335,644",0.12%,0
JKHY,Information Technology,Jack Henry & Associates Inc.,0.043672,211.07,S&P500,43.33,4.87,0.30%,72.83M,1.59%,15.01B,40.32,5.24,-3.46%,72.21M,13.47%,359.40M,3.10,1.00,95.93%,2.59%,13.40%,1.91B,7.86,6.80%,28.80%,4.06,26.39%,18.24,11.57,15.70%,190.90,21.70%,0.56,377.12,14.00%,27.00%,147.50 - 209.57,26.40%,1.96,46.42,5.70%,22.00%,0.72%,0.63,0.93%,1.50,5.40%,41.50%,43.10%,3.75,6714,1.50,10.30%,24.50%,76.87,1.75% 1.85%,Yes,0.17,22.50%,18.80%,0.70,208.34,Yes,0.17,May 03 AMC,38.30%,460.67K,211.07,2.70,7.12%,12.20%,18.90%,"323,865",1.31%,0
