,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
TRMB,Information Technology,Trimble Inc.,0.049307,69.68,S&P500,36.11,1.92,0.40%,250.80M,9.94%,17.74B,21.58,3.22,-1.75%,249.21M,17.48%,488.50M,3.61,0.62,95.00%,1.71%,2.18%,3.77B,4.71,25.40%,-0.12%,3.66,3.43%,15.90,4.37,6.90%,86.57,-18.79%,1.40,49.65,10.00%,12.50%,55.35 - 96.49,-20.37%,-,28.36,30.00%,9.10%,-28.04%,1.55,-,0.90,9.10%,55.50%,25.44%,1.86,11931,1.30,12.10%,15.30%,71.52,2.83% 2.95%,Yes,0.00,-3.10%,13.00%,0.99,67.71,Yes,0.32,May 05 BMO,0.00%,1.16M,69.43,2.10,14.35%,11.09%,-4.65%,"1,149,496",2.54%
WRB,Financials,W. R. Berkley Corporation,0.037621,62.53,S&P500,13.16,4.75,5.40%,276.77M,-0.19%,17.04B,12.99,4.82,0.00%,201.86M,-7.21%,1.33B,1.46,0.88,69.20%,1.29%,-8.35%,10.43B,1.63,95.00%,-0.41%,1.74,16.19%,24.80,2.52,3.20%,76.58,30.16%,7.76,8.06,9.00%,15.30%,46.17 - 71.77,14.71%,0.40,9.67,11.90%,11.60%,-12.87%,0.70,0.64%,-,4.30%,-,35.42%,1.69,7681,-,35.20%,13.50%,40.22,2.21% 2.42%,Yes,0.41,158.30%,9.80%,1.41,61.80,Yes,0.41,Jul 21 AMC,9.20%,1.50M,62.53,2.30,-3.95%,-6.62%,3.24%,"2,121,661",1.18%
CPT,Real Estate,Camden Property Trust,0.043859,141.1,S&P500,42.51,3.32,0.90%,105.34M,3.87%,14.89B,52.61,2.68,-0.09%,104.22M,5.36%,352.70M,1.68,0.55,96.00%,1.31%,-12.98%,1.19B,12.54,138.20%,0.37%,1.69,-6.25%,40.03,3.52,-,163.58,-5.14%,10.71,13.18,25.29%,-,125.17 - 180.37,-21.03%,3.76,-,-9.20%,1.70%,-21.77%,0.77,2.66%,-,5.50%,61.40%,12.73%,2.87,1700,-,16.40%,-,65.61,2.14% 1.99%,Yes,0.87,144.10%,-,1.31,141.33,Yes,0.78,Jul 28 AMC,-,812.32K,141.10,2.10,5.15%,3.89%,-10.31%,"1,061,143",-0.16%
EXPE,Consumer Discretionary,Expedia Group Inc.,0.045959,106.1,S&P500,84.57,1.25,0.40%,156.34M,6.71%,17.16B,11.00,9.64,-18.48%,150.88M,10.49%,215.00M,3.71,1.58,98.30%,4.95%,-42.18%,9.60B,1.79,90.50%,0.06%,2.04,-38.07%,13.29,7.98,0.90%,180.52,-35.23%,34.31,3.09,22.80%,12.60%,88.70 - 217.72,-41.32%,-,4.39,-24.40%,3.90%,-51.29%,1.62,-,0.90,-0.40%,83.50%,19.56%,4.52,14800,0.90,80.50%,9.10%,55.40,3.17% 4.08%,Yes,3.71,81.30%,2.20%,0.51,105.31,Yes,3.71,Aug 04 AMC,0.00%,3.66M,106.05,2.50,9.39%,-1.91%,-33.53%,"1,853,333",0.70%
SYF,Financials,Synchrony Financial,0.047716,33.48,S&P500,4.54,7.37,0.50%,493.00M,2.45%,16.32B,6.03,5.55,-4.35%,485.73M,17.35%,4.09B,0.13,1.41,-,2.33%,-12.06%,15.55B,1.05,222.90%,0.53%,1.63,-24.63%,25.68,1.30,3.90%,42.00,-30.71%,21.91,1.53,35.92%,28.40%,27.22 - 52.49,-27.83%,0.88,2.49,22.10%,44.60%,-36.22%,1.56,2.63%,-,0.70%,-,23.02%,1.21,18000,-,13.90%,85.20%,61.08,3.17% 3.67%,Yes,0.96,-24.40%,23.50%,0.82,32.66,Yes,0.96,Jul 18 BMO,12.90%,6.92M,33.48,2.10,8.47%,5.18%,-16.98%,"5,670,415",2.51%
LDOS,Industrials,Leidos Holdings Inc.,0.043088,107.0,S&P500,21.05,5.08,0.60%,139.00M,5.47%,14.54B,14.95,7.16,-8.24%,135.41M,7.70%,723.00M,3.19,1.56,82.90%,0.83%,1.88%,13.92B,1.05,20.70%,-0.54%,1.48,20.74%,28.45,3.76,5.50%,117.90,0.03%,2.19,48.96,6.60%,17.60%,81.07 - 111.12,20.36%,1.44,25.12,17.50%,10.00%,-3.71%,0.71,1.35%,0.90,14.30%,14.80%,31.98%,2.08,43000,1.00,5.40%,8.00%,68.30,1.86% 1.93%,Yes,1.30,-12.20%,5.20%,0.86,105.87,Yes,1.16,Aug 02 BMO,27.60%,756.88K,107.00,2.00,5.94%,5.65%,9.02%,"651,674",1.07%
IRM,Real Estate,Iron Mountain Inc.,0.040369,48.48,S&P500,31.61,1.53,0.80%,290.33M,2.36%,14.06B,26.56,1.83,-5.12%,288.04M,0.64%,446.90M,4.91,0.40,79.10%,6.12%,-12.96%,4.66B,3.02,30.30%,-0.14%,10.23,11.06%,2.61,18.58,3.00%,54.33,11.63%,0.68,71.83,6.44%,47.90%,41.67 - 58.61,-7.34%,2.47,-,30.40%,6.60%,-17.27%,0.84,5.10%,0.90,5.00%,69.40%,16.37%,1.14,26750,0.90,15.30%,19.40%,53.79,1.73% 2.24%,Yes,13.60,-8.00%,9.60%,2.91,48.00,Yes,13.48,Aug 04 BMO,120.20%,1.72M,48.49,2.10,2.37%,-1.67%,-1.38%,"5,007,212",1.02%
PEAK,Real Estate,Healthpeak Properties Inc.,0.042881,27.63,S&P500,47.97,0.58,0.30%,539.35M,3.10%,14.83B,57.68,0.48,0.00%,537.99M,6.93%,312.30M,16.54,0.10,99.60%,1.76%,-19.30%,1.94B,7.65,-20.10%,0.11%,2.15,-19.54%,11.88,2.33,2.90%,33.41,-25.61%,0.17,166.44,2.90%,6.50%,23.23 - 37.69,-23.44%,1.20,-,-22.50%,0.70%,-26.69%,0.77,4.34%,-,-2.30%,59.00%,18.94%,0.60,196,-,9.50%,13.20%,62.70,1.68% 2.20%,Yes,0.99,154.80%,22.10%,1.57,27.49,Yes,0.99,Aug 02 AMC,150.90%,4.42M,27.63,2.20,4.51%,2.45%,-14.20%,"6,935,122",0.51%
AES,Utilities,AES Corporation,0.042975,22.27,S&P500,-,-0.44,0.30%,711.00M,12.62%,14.98B,12.69,1.75,1.39%,665.63M,9.14%,-150.00M,-,0.33,95.30%,2.10%,5.61%,11.36B,1.32,5.90%,-0.31%,2.48,0.68%,3.10,7.17,-0.40%,27.05,-8.45%,2.22,10.01,8.40%,-6.60%,18.62 - 26.52,-8.56%,0.63,-,2.48%,-1.50%,-16.21%,0.94,2.84%,0.90,1.60%,22.70%,19.33%,0.70,8450,1.10,8.20%,-1.30%,63.73,2.64% 3.06%,Yes,9.18,172.80%,-1.30%,0.86,22.28,Yes,8.16,Aug 05 BMO,-,5.62M,22.22,1.80,7.07%,6.32%,-2.10%,"4,823,726",-0.27%
VFC,Consumer Discretionary,V.F. Corporation,0.045478,44.68,S&P500,14.44,3.09,0.20%,387.60M,-5.86%,17.30B,12.12,3.69,2.83%,367.24M,-1.02%,1.22B,0.59,0.13,86.50%,4.98%,-16.06%,11.84B,1.46,242.40%,-0.89%,5.10,-33.66%,9.11,4.90,10.20%,57.38,-47.16%,3.30,13.56,24.45%,39.50%,43.08 - 84.96,-38.98%,2.00,-,11.30%,14.70%,-47.41%,1.42,4.48%,1.00,7.10%,54.50%,3.71%,1.68,35000,1.40,9.40%,13.80%,43.60,4.57% 3.19%,Yes,1.54,31.80%,11.70%,3.45,48.57,Yes,1.30,Jul 28 AMC,55.80%,3.59M,44.68,2.50,-2.82%,-4.72%,-25.71%,"12,399,361",-8.01%
SJM,Consumer Staples,J.M. Smucker Company,0.04109,132.32,S&P500,22.66,5.84,0.80%,107.30M,1.64%,13.94B,14.38,9.20,0.00%,101.82M,1.24%,629.90M,14.12,1.26,85.50%,4.69%,-6.18%,8.00B,1.74,-25.10%,0.17%,4.92,-4.80%,75.86,1.74,3.90%,131.40,0.71%,1.61,82.06,1.60%,7.70%,118.55 - 146.74,-2.58%,4.08,46.37,2.70%,6.40%,-9.83%,0.24,3.08%,0.50,1.60%,34.00%,11.62%,2.76,6700,1.00,5.90%,12.60%,55.86,2.43% 2.00%,Yes,0.55,39.40%,7.90%,1.00,131.00,Yes,0.53,Jun 07 BMO,66.20%,969.75K,132.32,3.10,0.83%,3.05%,-0.24%,"969,492",1.01%
XYL,Industrials,Xylem Inc.,0.046933,92.03,S&P500,39.55,2.33,0.30%,180.20M,9.12%,16.30B,29.45,3.12,-2.48%,177.65M,17.94%,422.00M,2.11,0.54,94.20%,2.33%,10.33%,5.21B,3.13,67.70%,0.17%,3.88,-8.36%,17.75,5.18,5.00%,85.54,-26.41%,-,-,18.76%,13.50%,72.08 - 138.78,-23.26%,1.20,281.09,10.20%,8.90%,-33.69%,1.07,1.30%,1.20,6.60%,37.50%,27.68%,2.25,17300,1.60,1.30%,10.90%,76.46,2.52% 2.49%,Yes,0.76,-5.50%,8.10%,0.74,89.98,Yes,0.59,Aug 02 BMO,48.70%,1.07M,92.03,2.70,14.42%,14.22%,-6.50%,"792,216",2.28%
POOL,Consumer Discretionary,Pool Corporation,0.041781,358.18,S&P500,22.30,16.04,0.70%,39.93M,-1.49%,14.06B,19.10,18.73,0.29%,38.82M,2.21%,650.60M,1.31,4.60,99.10%,7.80%,-14.36%,5.30B,2.65,79.10%,0.28%,6.39,-20.82%,29.41,12.16,22.40%,435.38,-25.14%,0.90,397.11,17.00%,63.40%,324.14 - 582.27,-36.80%,4.00,90.00,35.90%,29.20%,-38.57%,0.91,1.12%,0.80,15.50%,30.50%,10.35%,14.54,5500,2.50,33.20%,15.70%,46.13,3.58% 3.74%,Yes,1.28,82.70%,12.30%,1.07,359.89,Yes,1.26,Jul 21 BMO,18.30%,473.82K,357.70,2.00,-2.66%,-4.64%,-21.37%,"506,540",-0.61%
NTAP,Information Technology,NetApp Inc.,0.046545,71.59,S&P500,17.43,4.09,0.10%,223.00M,2.99%,16.06B,11.76,6.06,-18.90%,219.24M,9.13%,937.00M,1.98,1.10,93.10%,2.52%,-4.89%,6.32B,2.54,26.70%,0.31%,2.98,-14.91%,3.76,18.97,9.90%,87.21,-9.72%,18.36,3.89,8.80%,117.20%,61.26 - 96.82,-22.46%,2.00,29.81,19.00%,28.80%,-26.33%,1.22,2.80%,1.50,2.80%,66.80%,16.44%,1.75,12000,1.50,8.00%,18.30%,64.08,2.14% 2.67%,Yes,3.15,-22.50%,14.80%,0.56,71.71,Yes,2.85,Jun 01 AMC,47.10%,1.85M,71.33,2.50,6.98%,5.59%,-12.22%,"1,043,338",-0.53%
TER,Information Technology,Teradyne Inc.,0.046778,97.0,S&P500,18.86,5.35,0.40%,162.05M,0.43%,16.53B,15.72,6.42,-3.62%,159.61M,11.79%,971.00M,3.41,1.14,-,2.76%,-9.66%,3.68B,4.50,29.00%,-0.06%,2.47,-9.30%,15.27,6.61,25.60%,125.68,-19.71%,6.57,15.36,5.53%,38.50%,82.97 - 168.91,-38.30%,0.44,19.15,94.40%,38.40%,-40.27%,1.54,0.44%,3.00,16.10%,59.80%,21.60%,4.06,5900,3.30,-3.40%,30.70%,58.67,5.05% 4.05%,Yes,0.04,-15.70%,26.40%,0.94,98.95,Yes,0.03,Jul 26 AMC,6.90%,1.78M,100.89,2.20,7.23%,3.53%,-17.08%,"1,679,438",1.96%
PAYC,Information Technology,Paycom Software Inc.,0.045439,330.49,S&P500,86.11,3.84,8.40%,58.01M,1.84%,20.31B,47.46,6.96,-0.42%,51.10M,16.30%,223.30M,3.36,1.12,76.00%,1.71%,11.90%,1.14B,17.86,36.80%,0.18%,1.99,9.80%,17.39,19.00,5.50%,371.89,-17.38%,5.87,56.32,25.66%,25.40%,255.82 - 558.97,-20.40%,-,93.46,23.20%,21.00%,-40.88%,1.50,-,1.10,26.20%,84.70%,29.19%,14.66,5385,1.10,29.90%,25.10%,59.41,4.54% 4.81%,Yes,0.03,42.70%,19.60%,0.99,326.57,Yes,0.03,Aug 02 AMC,0.00%,440.60K,330.49,2.00,6.43%,12.17%,-7.94%,"435,012",1.20%
IEX,Industrials,IDEX Corporation,0.045328,208.75,S&P500,33.46,6.24,0.20%,76.10M,8.29%,15.85B,25.60,8.15,0.00%,75.81M,15.28%,476.70M,2.79,1.89,-,1.51%,6.54%,2.86B,5.54,19.00%,-0.25%,2.80,0.04%,38.09,5.48,9.80%,216.43,-6.41%,9.65,21.62,12.00%,17.20%,172.18 - 240.33,-11.67%,2.40,53.36,10.70%,12.70%,-13.14%,1.02,1.15%,2.70,5.50%,44.50%,21.24%,4.59,7536,3.60,15.20%,23.40%,76.95,2.35% 2.26%,Yes,0.00,24.10%,16.60%,1.16,206.08,Yes,0.41,Jul 27 BMO,34.50%,407.41K,208.75,2.20,10.87%,11.85%,2.06%,"470,931",1.30%
UDR,Real Estate,UDR Inc.,0.041934,48.4,S&P500,96.22,0.50,0.60%,318.01M,4.83%,15.25B,101.04,0.48,0.00%,309.49M,4.56%,156.40M,-,0.07,-,1.99%,-13.85%,1.35B,11.33,137.40%,-0.70%,2.96,-11.37%,10.53,4.60,1.50%,53.25,-12.93%,0.00,16944.84,-,5.00%,42.00 - 61.06,-19.32%,1.52,62.02,10.60%,2.50%,-20.73%,0.72,3.14%,-,6.10%,64.90%,15.24%,1.04,1219,-,18.50%,17.90%,69.03,2.17% 2.07%,Yes,1.64,471.90%,11.60%,1.03,48.26,Yes,1.55,Jul 26 AMC,286.20%,2.08M,48.40,2.30,6.23%,5.49%,-9.85%,"2,131,037",0.29%
STX,Information Technology,Seagate Technology Holdings PLC,0.046417,80.41,S&P500,10.91,7.33,0.62%,218.00M,4.10%,18.70B,9.17,8.72,-59.60%,213.52M,11.89%,1.65B,0.85,1.59,82.70%,6.13%,-2.67%,11.66B,1.60,41.60%,-0.29%,6.47,-22.86%,1.93,41.44,20.50%,88.29,-8.28%,4.87,16.43,12.79%,337.40%,67.36 - 117.67,-29.21%,2.80,22.97,45.50%,25.30%,-32.03%,1.12,3.50%,1.00,-0.90%,29.70%,18.74%,2.92,40000,1.50,2.60%,17.70%,56.45,3.72% 3.66%,Yes,13.41,12.30%,15.80%,1.97,79.80,Yes,13.33,Jul 21 AMC,33.40%,2.02M,79.98,-,5.14%,2.45%,-13.42%,"3,992,200",0.23%
BRO,Financials,Brown & Brown Inc.,0.043555,65.1,S&P500,30.19,2.16,2.40%,277.10M,5.05%,18.49B,25.26,2.58,0.24%,234.88M,12.24%,599.60M,2.28,0.49,75.30%,1.76%,-1.02%,3.14B,5.89,22.70%,-0.28%,2.34,5.05%,15.65,4.16,-,70.44,18.71%,6.03,10.80,13.22%,-,52.91 - 74.00,-7.37%,0.41,-,17.90%,10.30%,-12.03%,0.79,0.63%,1.80,11.60%,-,23.04%,1.41,12023,1.80,11.00%,-,70.82,2.15% 2.04%,Yes,0.82,12.40%,-,0.74,64.38,Yes,0.81,Jul 25 AMC,-,1.76M,65.10,2.60,7.61%,11.61%,1.47%,"1,308,685",1.12%
TECH,Health Care,Bio-Techne Corporation,0.042876,382.36,S&P500,70.28,5.48,0.60%,39.27M,6.06%,15.40B,41.97,9.18,-2.60%,38.95M,10.55%,225.40M,4.69,2.08,97.40%,1.96%,-0.42%,1.08B,14.31,-40.40%,-0.01%,3.07,8.88%,43.65,8.83,9.90%,500.99,-20.25%,5.78,66.61,15.00%,13.60%,318.07 - 543.85,-25.53%,1.28,61.16,4.40%,12.00%,-29.16%,1.22,0.33%,2.80,13.30%,68.00%,21.13%,11.28,2600,3.60,19.20%,26.40%,64.42,2.67% 3.26%,Yes,0.15,31.70%,20.90%,0.55,380.76,Yes,0.14,Aug 04 BMO,22.30%,249.20K,385.28,1.80,7.37%,8.52%,-7.89%,"137,630",1.19%
GNRC,Industrials,Generac Holdings Inc.,0.046916,268.7,S&P500,35.54,7.55,1.50%,63.45M,11.82%,17.84B,19.30,13.90,-6.67%,62.09M,25.02%,486.20M,2.64,2.63,91.30%,8.77%,14.99%,4.07B,4.39,51.50%,0.15%,5.09,4.40%,36.38,7.37,10.90%,379.42,-36.01%,3.10,86.59,13.47%,24.40%,197.94 - 524.31,-23.76%,-,129.44,40.60%,18.30%,-48.83%,1.23,-,0.70,20.90%,34.40%,35.55%,11.76,8955,1.70,40.70%,16.90%,65.68,3.76% 4.42%,Yes,0.47,-32.40%,12.00%,1.05,256.89,Yes,0.43,Aug 03 BMO,0.00%,1.07M,268.30,1.60,17.34%,13.92%,-13.32%,"1,123,120",4.44%
FMC,Materials,FMC Corporation,0.04057,111.1,S&P500,17.06,6.51,0.50%,126.06M,4.91%,13.98B,12.85,8.65,-1.89%,124.59M,2.66%,834.80M,1.78,1.89,92.10%,1.14%,-17.52%,5.20B,2.69,40.40%,0.18%,1.50,2.78%,24.27,4.58,7.10%,135.18,3.91%,2.90,38.28,9.58%,24.80%,87.27 - 140.99,1.10%,2.12,101.87,45.60%,15.40%,-21.20%,0.84,1.91%,1.00,14.70%,42.90%,27.31%,2.71,6400,1.40,13.00%,20.90%,60.44,1.99% 2.41%,Yes,1.23,20.00%,14.60%,0.60,110.22,Yes,0.89,Aug 02 AMC,33.10%,942.83K,111.10,2.40,5.84%,-0.09%,-1.96%,"570,251",0.80%
TYL,Information Technology,Tyler Technologies Inc.,0.047135,399.0,S&P500,102.68,3.89,0.80%,41.36M,8.63%,16.71B,49.16,8.12,-3.22%,41.01M,18.99%,164.50M,10.27,1.82,92.90%,1.07%,-1.15%,1.75B,9.53,-18.50%,0.01%,1.52,-7.89%,57.72,6.91,3.50%,483.05,-18.80%,6.88,57.97,10.00%,7.30%,300.85 - 557.55,-25.83%,-,51.96,5.50%,5.00%,-28.44%,0.85,-,1.10,15.90%,43.20%,32.62%,12.59,6959,1.10,54.70%,11.30%,70.84,3.64% 3.28%,Yes,0.55,7.10%,9.40%,0.98,398.35,Yes,0.54,Jul 27 AMC,0.00%,288.26K,399.00,2.10,14.20%,16.37%,-8.39%,"282,860",0.16%
WDC,Information Technology,Western Digital Corporation,0.044294,48.95,S&P500,8.47,5.79,0.60%,313.00M,3.98%,16.42B,6.01,8.17,-1.00%,311.79M,8.15%,1.82B,0.37,1.74,81.80%,2.96%,-6.67%,19.18B,0.86,416.70%,-1.32%,2.30,-8.80%,38.29,1.28,7.00%,67.87,-23.83%,7.49,6.56,22.80%,15.80%,41.63 - 69.99,-24.70%,-,11.64,21.60%,5.70%,-29.85%,1.51,-,1.30,5.40%,32.70%,17.94%,1.73,65600,2.10,5.90%,13.10%,53.82,3.39% 3.55%,Yes,0.60,-87.40%,9.50%,0.64,48.72,Yes,0.59,Aug 05 BMO,0.00%,4.01M,49.10,2.00,5.58%,-4.09%,-9.31%,"2,563,788",0.78%
AVY,Materials,Avery Dennison Corporation,0.045396,190.46,S&P500,21.82,8.73,0.60%,82.40M,8.65%,15.63B,18.02,10.57,0.00%,81.19M,16.13%,728.80M,3.14,2.37,95.40%,0.96%,3.75%,8.71B,1.79,33.60%,-0.69%,1.46,-3.01%,23.45,8.12,9.60%,210.18,-9.18%,1.79,106.24,6.95%,39.60%,151.62 - 229.24,-12.06%,3.00,34.05,20.10%,14.70%,-16.92%,0.94,1.58%,0.70,6.70%,27.10%,25.62%,4.74,36000,1.10,14.50%,11.40%,72.78,2.71% 2.34%,Yes,1.69,-4.40%,8.40%,1.12,189.14,Yes,1.44,Jul 27 BMO,30.90%,530.19K,190.46,2.00,12.28%,13.22%,1.37%,"595,087",0.70%
BBY,Consumer Discretionary,Best Buy Co. Inc.,0.046002,76.99,S&P500,8.53,9.02,0.50%,226.80M,0.25%,17.65B,7.89,9.75,9.26%,200.83M,14.65%,2.20B,1.27,1.82,83.00%,5.98%,-17.73%,50.77B,0.35,44.00%,-0.51%,3.28,-19.89%,12.20,6.31,12.30%,89.20,-32.62%,2.79,27.58,6.70%,61.10%,64.29 - 141.97,-24.22%,3.52,67.89,21.30%,58.00%,-45.77%,1.53,4.57%,0.20,5.60%,22.20%,19.75%,2.99,105000,1.00,-8.50%,5.40%,55.95,4.32% 3.76%,Yes,0.43,-35.60%,4.30%,1.37,77.99,Yes,0.42,May 24 BMO,30.80%,3.67M,76.99,2.60,6.16%,4.05%,-19.95%,"5,031,118",-1.28%
JKHY,Information Technology,Jack Henry & Associates Inc.,0.044088,207.77,S&P500,42.65,4.87,0.30%,72.83M,4.05%,15.06B,39.69,5.24,-3.40%,72.21M,14.08%,359.40M,3.05,1.00,93.60%,2.59%,6.75%,1.91B,7.88,6.80%,-0.16%,3.90,32.15%,18.24,11.39,15.70%,190.90,19.90%,0.55,378.48,14.00%,27.00%,147.50 - 206.90,24.42%,1.96,46.59,5.70%,22.00%,0.42%,0.60,0.94%,1.50,5.40%,41.50%,40.86%,3.73,6714,1.50,10.30%,24.50%,77.58,1.86% 1.95%,Yes,0.17,22.50%,18.80%,0.79,206.31,Yes,0.17,May 03 AMC,38.30%,479.85K,207.77,2.70,8.67%,12.13%,17.70%,"377,434",0.71%
HRL,Consumer Staples,Hormel Foods Corporation,0.040341,49.34,S&P500,28.19,1.75,47.20%,544.70M,3.68%,26.77B,24.01,2.06,-0.04%,287.05M,2.88%,959.80M,3.28,0.41,41.60%,3.78%,-7.83%,12.46B,2.15,-0.10%,0.18%,6.29,5.52%,13.47,3.66,7.50%,46.25,5.16%,1.63,30.24,8.60%,13.60%,40.48 - 55.11,1.09%,1.04,66.37,0.20%,8.80%,-10.47%,0.10,2.11%,1.20,3.60%,16.80%,21.89%,0.82,20000,2.30,18.80%,9.80%,65.28,1.88% 1.58%,Yes,0.45,14.30%,7.70%,1.15,49.25,Yes,0.45,Jun 02 BMO,56.30%,1.72M,49.34,3.00,3.10%,4.28%,3.26%,"1,973,519",0.18%
OMC,Communication Services,Omnicom Group Inc,0.042297,69.84,S&P500,11.71,5.96,0.60%,205.30M,1.28%,14.36B,10.45,6.68,-0.68%,202.91M,10.30%,1.26B,1.11,1.68,97.00%,5.02%,-11.22%,14.27B,1.01,45.80%,0.04%,6.28,-4.71%,13.80,5.06,4.90%,77.39,-4.63%,16.17,4.32,10.60%,41.80%,61.31 - 91.61,-4.68%,2.80,64.61,6.00%,18.40%,-23.76%,0.86,4.01%,0.90,-1.50%,27.70%,13.91%,1.69,71700,0.90,-0.10%,14.40%,60.29,1.92% 2.36%,Yes,1.96,5.00%,9.10%,1.13,69.65,Yes,1.96,Jul 19 AMC,45.50%,1.62M,69.84,2.50,5.71%,2.48%,-5.97%,"1,828,895",0.27%
TXT,Industrials,Textron Inc.,0.041402,65.64,S&P500,19.13,3.43,0.50%,217.01M,2.84%,14.25B,13.95,4.71,-24.31%,213.97M,9.56%,769.00M,1.35,0.88,98.00%,2.35%,-8.90%,12.50B,1.14,144.40%,-0.13%,4.13,-1.52%,31.87,2.06,4.90%,85.17,-5.27%,9.79,6.70,14.15%,11.90%,57.11 - 79.45,-14.97%,0.08,11.22,1.30%,6.90%,-17.38%,1.58,0.12%,1.20,-2.10%,16.90%,14.94%,1.87,33000,2.30,4.20%,7.00%,61.93,2.90% 2.73%,Yes,0.53,17.30%,6.10%,1.04,64.78,Yes,0.53,Jul 28 BMO,2.30%,1.22M,65.64,-,5.99%,4.93%,-6.05%,"1,264,089",1.33%
CHRW,Industrials,C.H. Robinson Worldwide Inc.,0.041239,110.0,S&P500,15.62,7.09,0.60%,130.50M,8.54%,14.00B,17.98,6.16,-10.99%,126.32M,9.12%,941.30M,2.85,1.98,96.30%,7.82%,0.33%,25.11B,0.56,69.60%,-0.03%,7.89,7.66%,16.06,6.89,13.90%,108.73,24.06%,1.92,57.68,5.48%,47.20%,85.80 - 115.99,2.85%,2.20,-,11.90%,22.30%,-4.56%,0.73,1.99%,1.50,11.90%,13.40%,29.02%,2.92,17258,1.50,41.90%,4.80%,68.68,3.43% 2.86%,Yes,1.06,60.20%,3.70%,1.42,108.07,Yes,0.76,Jul 27 AMC,29.60%,1.25M,110.70,2.50,10.53%,7.91%,9.24%,"1,779,079",2.43%
JBHT,Industrials,J.B. Hunt Transport Services Inc.,0.043689,182.92,S&P500,20.65,8.87,1.30%,104.89M,5.48%,19.00B,18.48,9.92,-0.55%,84.36M,16.51%,940.70M,1.03,2.45,79.50%,3.00%,4.97%,13.97B,1.36,50.60%,0.04%,3.27,-2.57%,31.02,5.91,11.40%,199.48,9.47%,1.39,131.47,20.09%,25.20%,153.92 - 218.18,-10.34%,1.60,125.07,13.40%,18.30%,-16.00%,1.10,0.87%,-,13.20%,17.10%,19.07%,4.81,33045,1.30,33.20%,7.50%,69.78,2.99% 2.64%,Yes,0.40,67.10%,5.40%,0.73,179.45,Yes,0.29,Jul 19 AMC,16.30%,774.74K,183.27,2.20,9.42%,10.09%,-1.36%,"567,294",2.13%
LKQ,Consumer Discretionary,LKQ Corporation,0.042563,54.91,S&P500,14.73,3.72,0.50%,285.70M,3.30%,15.60B,12.84,4.27,-77.87%,281.42M,11.60%,1.09B,0.44,1.02,97.60%,1.60%,7.28%,13.27B,1.18,74.90%,-1.83%,2.63,2.29%,20.25,2.71,8.70%,63.56,6.55%,1.15,47.69,33.50%,18.80%,42.36 - 60.43,-8.65%,1.00,17.89,20.00%,13.10%,-9.25%,1.41,1.82%,0.80,8.80%,40.60%,29.46%,1.37,46000,1.90,5.60%,10.90%,67.46,2.58% 2.49%,Yes,0.47,7.10%,8.30%,0.99,54.15,Yes,0.46,Jul 28 BMO,13.30%,1.72M,54.84,1.50,6.76%,8.63%,4.90%,"1,695,788",1.27%
PKG,Materials,Packaging Corporation of America,0.038542,140.82,S&P500,14.33,9.81,1.30%,92.90M,-0.70%,13.20B,12.13,11.60,-1.95%,92.22M,1.22%,923.70M,1.41,2.85,96.40%,2.04%,-13.66%,8.06B,1.64,82.30%,0.75%,2.85,-2.01%,40.68,3.46,11.40%,155.20,0.28%,7.56,18.59,10.14%,25.60%,124.78 - 168.50,3.28%,5.00,15.60,13.20%,15.00%,-16.55%,0.81,3.56%,2.00,6.00%,24.80%,12.69%,3.45,15200,3.00,18.20%,16.10%,49.55,2.81% 2.22%,Yes,0.66,56.00%,11.50%,2.03,140.16,Yes,0.66,Jul 25 AMC,40.60%,659.53K,140.61,2.50,1.42%,-3.32%,-2.69%,"1,339,925",0.32%
NVR,Consumer Discretionary,NVR Inc.,0.039502,4393.1,S&P500,11.73,374.49,5.87%,3.38M,-3.50%,14.45B,9.94,441.75,0.00%,3.10M,10.77%,1.41B,2.44,126.77,87.20%,1.92%,-2.22%,9.31B,1.55,39.30%,0.49%,2.91,-13.12%,805.20,5.46,24.40%,4938.75,-16.24%,655.90,6.70,4.80%,48.00%,3576.01 - 5982.44,-25.65%,-,12.00,25.30%,28.50%,-26.57%,1.01,-,-,9.00%,26.50%,22.85%,143.31,6600,-,16.50%,20.40%,54.82,2.98% 3.44%,No,0.56,84.40%,15.20%,0.97,4389.84,Yes,0.56,Jul 26 BMO,0.00%,20.37K,4393.10,2.70,0.49%,3.72%,-9.19%,"19,729",0.07%
