,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
TER,Information Technology,Teradyne Inc.,0.048817,100.46,S&P 500,18.71,5.35,0.40%,162.05M,7.30%,16.41B,15.60,6.42,-7.21%,159.61M,8.88%,971.00M,3.39,1.14,-,2.75%,-8.33%,3.68B,4.46,29.00%,-0.06%,2.47,-30.19%,15.27,6.56,25.60%,125.68,-22.28%,6.57,15.24,5.53%,38.50%,82.97 - 168.91,-38.79%,0.44,19.00,94.40%,38.40%,-40.74%,1.54,0.44%,3.00,16.10%,59.80%,20.65%,3.69,5900,3.30,-3.40%,30.70%,57.89,3.42% 3.77%,Yes,0.04,-15.70%,26.40%,0.92,100.46,Yes,0.03,Jul 26 AMC,6.90%,1.78M,100.10,2.20,7.22%,2.34%,-17.87%,"1,639,257",-0.36%
PAYC,Information Technology,Paycom Software Inc.,0.046415,317.04,S&P 500,82.61,3.84,8.40%,58.01M,5.76%,19.48B,45.53,6.96,-0.42%,51.10M,10.80%,223.30M,3.22,1.12,76.00%,1.95%,7.12%,1.14B,17.14,36.80%,0.18%,2.23,2.27%,17.39,18.23,5.50%,371.89,-19.92%,5.87,54.03,25.66%,25.40%,255.82 - 558.97,-23.64%,-,89.66,23.20%,21.00%,-43.28%,1.50,-,1.10,26.20%,84.70%,23.93%,13.75,5385,1.10,29.90%,25.10%,55.64,3.82% 4.71%,Yes,0.03,42.70%,19.60%,0.58,324.53,Yes,0.03,Aug 02 AMC,0.00%,444.97K,317.04,2.00,3.58%,8.76%,-12.61%,"257,278",-2.31%
IEX,Industrials,IDEX Corporation,0.043587,192.87,S&P 500,30.92,6.24,0.20%,76.10M,5.53%,14.65B,23.66,8.15,0.00%,75.81M,7.39%,476.70M,2.58,1.89,-,1.29%,0.76%,2.86B,5.11,19.00%,-0.25%,2.36,-11.99%,38.09,5.06,9.80%,216.43,-15.33%,9.65,19.98,12.00%,17.20%,172.18 - 240.33,-18.39%,2.40,49.30,10.70%,12.70%,-19.75%,1.02,1.24%,2.70,5.50%,44.50%,12.01%,4.22,7536,3.60,15.20%,23.40%,61.87,1.82% 2.23%,Yes,0.00,24.10%,16.60%,0.90,192.77,Yes,0.41,Jul 27 BMO,34.50%,414.07K,192.87,2.20,4.14%,3.95%,-5.82%,"372,267",0.05%
UDR,Real Estate,UDR Inc.,0.04124,46.06,S&P 500,91.57,0.50,0.60%,318.01M,3.27%,14.51B,96.16,0.48,0.00%,309.49M,0.79%,156.40M,-,0.07,-,1.87%,-20.93%,1.35B,10.78,137.40%,-0.70%,2.84,-18.23%,10.53,4.37,1.50%,53.25,-16.15%,0.00,16125.61,-,5.00%,42.00 - 61.06,-23.22%,1.52,59.02,10.60%,2.50%,-24.57%,0.72,3.30%,-,6.10%,64.90%,9.67%,1.00,1219,-,18.50%,17.90%,54.06,1.79% 2.03%,Yes,1.64,471.90%,11.60%,1.33,46.17,Yes,1.55,Jul 26 AMC,286.20%,2.04M,46.06,2.30,1.27%,0.16%,-14.42%,"2,714,149",-0.24%
STX,Information Technology,Seagate Technology Holdings PLC,0.045936,76.49,S&P 500,10.43,7.33,0.62%,218.00M,-1.28%,17.89B,8.77,8.72,-59.60%,213.52M,8.16%,1.65B,0.82,1.59,82.70%,5.45%,-7.16%,11.66B,1.53,41.60%,-0.29%,5.74,-19.89%,1.93,39.65,20.50%,88.29,-10.48%,4.87,15.72,12.79%,337.40%,67.36 - 117.67,-32.27%,2.80,21.98,45.50%,25.30%,-34.97%,1.12,3.66%,1.00,-0.90%,29.70%,13.60%,3.12,40000,1.50,2.60%,17.70%,49.09,4.17% 3.65%,Yes,13.41,12.30%,15.80%,1.69,76.83,Yes,13.33,Jul 21 AMC,33.40%,2.03M,76.52,-,1.81%,-2.18%,-17.22%,"3,428,121",-0.40%
BRO,Financials,Brown & Brown Inc.,0.043097,62.39,S&P 500,28.94,2.16,2.40%,277.10M,6.18%,17.72B,24.21,2.58,0.30%,234.88M,8.90%,599.60M,2.19,0.49,75.30%,2.28%,-7.88%,3.14B,5.64,22.70%,-0.28%,2.95,-1.17%,15.65,3.99,-,70.44,14.79%,6.03,10.35,13.22%,-,52.91 - 74.00,-11.23%,0.41,-,17.90%,10.30%,-15.69%,0.79,0.66%,1.80,11.60%,-,17.92%,1.38,12023,1.80,11.00%,-,64.35,2.11% 2.04%,Yes,0.82,12.40%,-,0.57,61.97,Yes,0.81,Jul 25 AMC,-,1.82M,62.39,2.60,4.67%,7.85%,-2.66%,"1,035,109",0.68%
TECH,Health Care,Bio-Techne Corporation,0.042049,361.1,S&P 500,65.87,5.48,0.60%,39.27M,7.39%,14.43B,39.34,9.18,-2.60%,38.95M,4.58%,225.40M,4.39,2.08,97.40%,2.05%,-10.39%,1.08B,13.41,-40.40%,-0.01%,3.13,-1.63%,43.65,8.27,9.90%,500.99,-23.88%,5.78,62.43,15.00%,13.60%,318.07 - 543.85,-30.20%,1.28,57.32,4.40%,12.00%,-33.60%,1.22,0.35%,2.80,13.30%,68.00%,13.53%,11.54,2600,3.60,19.20%,26.40%,53.71,3.04% 3.16%,Yes,0.15,31.70%,20.90%,0.40,363.25,Yes,0.14,Aug 04 BMO,22.30%,254.36K,361.10,1.80,1.85%,2.11%,-14.12%,"101,555",-0.59%
GNRC,Industrials,Generac Holdings Inc.,0.04505,238.54,S&P 500,31.60,7.55,1.50%,63.45M,6.63%,15.86B,17.15,13.90,-6.67%,62.09M,7.49%,486.20M,2.35,2.63,91.30%,8.85%,0.24%,4.07B,3.90,51.50%,0.15%,5.07,-12.03%,36.38,6.56,10.90%,379.42,-46.95%,3.10,76.98,13.47%,24.40%,197.94 - 524.31,-32.22%,-,115.08,40.60%,18.30%,-54.50%,1.23,-,0.70,20.90%,34.40%,20.51%,11.77,8955,1.70,40.70%,16.90%,54.19,4.80% 4.50%,Yes,0.47,-32.40%,12.00%,0.40,239.93,Yes,0.43,Aug 03 BMO,0.00%,1.08M,238.54,1.60,6.49%,2.22%,-23.75%,"432,717",-0.58%
FMC,Materials,FMC Corporation,0.040067,107.63,S&P 500,16.53,6.51,0.50%,126.06M,7.23%,13.54B,12.45,8.65,-1.89%,124.59M,3.80%,834.80M,1.73,1.89,92.10%,1.24%,-18.85%,5.20B,2.60,40.40%,0.18%,1.60,-1.12%,24.27,4.43,7.10%,135.18,1.20%,2.90,37.09,9.58%,24.80%,87.27 - 140.99,-2.06%,2.12,98.69,45.60%,15.40%,-23.66%,0.84,1.97%,1.00,14.70%,42.90%,23.33%,2.98,6400,1.40,13.00%,20.90%,52.34,2.17% 2.63%,Yes,1.23,20.00%,14.60%,0.59,105.90,Yes,0.89,Aug 02 AMC,33.10%,968.65K,107.63,2.40,2.64%,-3.70%,-4.69%,"574,846",1.63%
TYL,Information Technology,Tyler Technologies Inc.,0.044687,365.51,S&P 500,94.06,3.89,0.80%,41.36M,7.45%,15.31B,45.03,8.12,-3.22%,41.01M,11.69%,164.50M,9.41,1.82,92.90%,1.19%,-5.16%,1.75B,8.73,-18.50%,0.01%,1.66,-19.59%,57.72,6.33,3.50%,483.05,-26.58%,6.88,53.11,10.00%,7.30%,300.85 - 557.55,-32.06%,-,47.59,5.50%,5.00%,-34.44%,0.85,-,1.10,15.90%,43.20%,21.49%,11.24,6959,1.10,54.70%,11.30%,61.18,2.72% 3.08%,Yes,0.55,7.10%,9.40%,0.60,367.31,Yes,0.54,Jul 27 AMC,0.00%,295.19K,365.51,2.10,6.77%,7.28%,-16.45%,"176,704",-0.49%
WDC,Information Technology,Western Digital Corporation,0.04413,46.54,S&P 500,8.08,5.79,0.60%,313.00M,-0.13%,15.67B,5.73,8.17,-1.00%,311.79M,2.00%,1.82B,0.35,1.74,81.80%,2.95%,-5.30%,19.18B,0.82,416.70%,-1.32%,2.20,-18.98%,38.29,1.22,7.00%,67.87,-26.53%,7.49,6.25,22.80%,15.80%,41.63 - 69.99,-28.17%,-,11.10,21.60%,5.70%,-33.08%,1.51,-,1.30,5.40%,32.70%,12.52%,1.86,65600,2.10,5.90%,13.10%,45.47,3.35% 3.58%,Yes,0.60,-87.40%,9.50%,1.11,47.22,Yes,0.59,Aug 05 BMO,0.00%,4.18M,46.84,2.00,1.17%,-9.80%,-13.77%,"4,660,563",-0.80%
AVY,Materials,Avery Dennison Corporation,0.043246,174.78,S&P 500,20.02,8.73,0.60%,82.40M,5.76%,14.34B,16.53,10.57,0.00%,81.19M,12.41%,728.80M,2.88,2.37,95.40%,1.04%,4.40%,8.71B,1.65,33.60%,-0.69%,1.52,-12.94%,23.45,7.45,9.60%,210.18,-13.58%,1.79,97.49,6.95%,39.60%,151.62 - 229.24,-19.30%,3.00,31.24,20.10%,14.70%,-23.76%,0.94,1.72%,0.70,6.70%,27.10%,15.28%,4.15,36000,1.10,14.50%,11.40%,61.21,1.87% 2.41%,Yes,1.69,-4.40%,8.40%,0.62,175.30,Yes,1.44,Jul 27 BMO,30.90%,552.95K,174.78,2.00,4.88%,4.24%,-7.26%,"345,260",-0.30%
BBY,Consumer Discretionary,Best Buy Co. Inc.,0.046567,75.84,S&P 500,8.40,9.02,0.50%,226.80M,3.41%,17.39B,7.78,9.75,9.26%,200.83M,6.38%,2.20B,1.25,1.82,83.00%,5.99%,-16.91%,50.77B,0.34,44.00%,-0.51%,3.40,-21.37%,12.20,6.22,12.30%,89.20,-33.05%,2.79,27.17,6.70%,61.10%,64.29 - 141.97,-25.35%,3.52,66.88,21.30%,58.00%,-46.58%,1.53,4.64%,0.20,5.60%,22.20%,17.97%,2.63,105000,1.00,-8.50%,5.40%,55.32,3.61% 3.69%,Yes,0.43,-35.60%,4.30%,0.62,76.80,Yes,0.42,May 24 BMO,30.80%,3.54M,75.84,2.60,5.85%,1.34%,-21.67%,"2,197,884",-1.25%
JKHY,Information Technology,Jack Henry & Associates Inc.,0.043864,197.38,S&P 500,40.52,4.87,0.30%,72.83M,3.38%,14.31B,37.70,5.24,-3.40%,72.21M,11.05%,359.40M,2.89,1.00,93.60%,2.79%,0.04%,1.91B,7.49,6.80%,-0.16%,4.26,20.54%,18.24,10.82,15.70%,190.90,11.98%,0.55,359.55,14.00%,27.00%,147.50 - 205.37,18.20%,1.96,44.26,5.70%,22.00%,-3.89%,0.60,0.99%,1.50,5.40%,41.50%,33.82%,3.80,6714,1.50,10.30%,24.50%,67.69,1.59% 1.98%,Yes,0.17,22.50%,18.80%,1.24,199.69,Yes,0.17,May 03 AMC,38.30%,473.50K,197.38,2.70,5.41%,7.70%,12.29%,"589,189",-1.16%
HRL,Consumer Staples,Hormel Foods Corporation,0.040072,47.77,S&P 500,27.30,1.75,47.20%,544.70M,0.84%,25.92B,23.25,2.06,-0.04%,287.05M,3.15%,959.80M,3.17,0.41,41.60%,3.73%,-10.84%,12.46B,2.08,-0.10%,0.18%,6.05,-2.77%,13.47,3.55,7.50%,46.25,0.91%,1.63,29.28,8.60%,13.60%,40.48 - 55.11,-2.13%,1.04,64.26,0.20%,8.80%,-13.32%,0.10,2.18%,1.20,3.60%,16.80%,18.01%,0.80,20000,2.30,18.80%,9.80%,52.35,1.41% 1.61%,Yes,0.45,14.30%,7.70%,0.46,47.59,Yes,0.45,Jun 02 BMO,56.30%,1.77M,47.77,3.00,0.18%,0.21%,0.26%,"810,337",0.38%
OMC,Communication Services,Omnicom Group Inc,0.043046,69.4,S&P 500,11.64,5.96,0.60%,205.30M,5.97%,14.27B,10.39,6.68,-0.68%,202.91M,10.90%,1.26B,1.10,1.68,97.00%,4.83%,-12.16%,14.27B,1.00,45.80%,0.04%,5.92,-8.20%,13.80,5.03,4.90%,77.39,-4.01%,16.17,4.29,10.60%,41.80%,61.31 - 91.61,-5.28%,2.80,64.20,6.00%,18.40%,-24.24%,0.86,4.03%,0.90,-1.50%,27.70%,13.20%,1.80,71700,0.90,-0.10%,14.40%,60.83,2.62% 2.47%,Yes,1.96,5.00%,9.10%,0.57,68.96,Yes,1.96,Jul 19 AMC,45.50%,1.66M,69.40,2.50,6.62%,1.00%,-6.72%,"947,558",0.64%
TXT,Industrials,Textron Inc.,0.041931,64.3,S&P 500,18.74,3.43,0.50%,217.01M,6.93%,13.96B,13.66,4.71,-24.31%,213.97M,10.42%,769.00M,1.32,0.88,98.00%,2.60%,-5.29%,12.50B,1.12,144.40%,-0.13%,4.46,-10.21%,31.87,2.02,4.90%,85.17,-5.48%,9.79,6.57,14.15%,11.90%,57.11 - 79.45,-16.71%,0.08,10.99,1.30%,6.90%,-19.07%,1.58,0.12%,1.20,-2.10%,16.90%,12.59%,1.82,33000,2.30,4.20%,7.00%,59.08,2.69% 2.74%,Yes,0.53,17.30%,6.10%,0.60,63.83,Yes,0.53,Jul 28 BMO,2.30%,1.25M,64.30,-,5.23%,3.03%,-8.17%,"747,939",0.74%
CHRW,Industrials,C.H. Robinson Worldwide Inc.,0.039999,100.91,S&P 500,14.24,7.09,0.60%,130.50M,2.39%,12.77B,16.39,6.16,-10.99%,126.32M,0.62%,941.30M,2.60,1.98,96.30%,7.11%,-1.20%,25.11B,0.51,69.60%,-0.03%,7.19,-3.88%,16.06,6.28,13.90%,108.73,8.65%,1.92,52.57,5.48%,47.20%,84.67 - 115.99,-6.24%,2.20,-,11.90%,22.30%,-13.00%,0.73,2.18%,1.50,11.90%,13.40%,19.18%,2.79,17258,1.50,41.90%,4.80%,50.24,1.81% 2.66%,Yes,1.06,60.20%,3.70%,0.70,101.99,Yes,0.76,Jul 27 AMC,29.60%,1.25M,100.91,2.50,0.68%,-1.99%,-0.18%,"875,123",-1.06%
JBHT,Industrials,J.B. Hunt Transport Services Inc.,0.043486,173.32,S&P 500,19.53,8.87,1.30%,104.89M,3.11%,17.97B,17.48,9.92,-0.55%,84.36M,10.04%,940.70M,0.97,2.45,79.50%,3.25%,2.34%,13.97B,1.29,50.60%,0.04%,3.46,-12.88%,31.02,5.59,11.40%,199.48,3.63%,1.39,124.33,20.09%,25.20%,153.92 - 218.18,-15.21%,1.60,118.28,13.40%,18.30%,-20.56%,1.10,0.92%,-,13.20%,17.10%,12.60%,4.41,33045,1.30,33.20%,7.50%,61.62,2.24% 2.62%,Yes,0.40,67.10%,5.40%,0.73,173.75,Yes,0.29,Jul 19 AMC,16.30%,792.07K,173.32,2.20,5.20%,4.13%,-6.69%,"579,519",-0.25%
LKQ,Consumer Discretionary,LKQ Corporation,0.042888,50.0,S&P 500,14.31,3.72,0.50%,285.70M,6.14%,15.14B,12.47,4.27,-77.87%,281.42M,10.00%,1.09B,0.43,1.02,97.60%,1.60%,7.86%,13.27B,1.14,74.90%,-1.83%,2.60,-0.93%,20.25,2.63,8.70%,63.56,4.91%,1.15,46.31,33.50%,18.80%,42.36 - 60.43,-11.29%,1.00,17.37,20.00%,13.10%,-11.88%,1.41,1.88%,0.80,8.80%,40.60%,25.71%,1.31,46000,1.90,5.60%,10.90%,64.30,2.17% 2.52%,Yes,0.47,7.10%,8.30%,0.77,53.09,Yes,0.46,Jul 28 BMO,13.30%,1.73M,53.25,1.50,5.02%,6.00%,1.93%,"1,329,357",0.30%
PKG,Materials,Packaging Corporation of America,0.040023,143.91,S&P 500,14.67,9.81,1.30%,92.90M,7.16%,13.51B,12.41,11.60,-1.95%,92.22M,5.97%,923.70M,1.45,2.85,96.40%,1.77%,-10.71%,8.06B,1.68,82.30%,0.75%,2.53,6.98%,40.68,3.54,11.40%,155.20,7.69%,7.56,19.03,10.14%,25.60%,124.78 - 168.50,5.70%,5.00,15.96,13.20%,15.00%,-14.59%,0.81,3.47%,2.00,6.00%,24.80%,15.33%,3.31,15200,3.00,18.20%,16.10%,55.35,2.04% 2.09%,Yes,0.66,56.00%,11.50%,1.57,141.60,Yes,0.66,Jul 25 AMC,40.60%,645.55K,143.91,2.50,3.80%,-1.94%,-0.41%,"1,013,086",1.63%
NVR,Consumer Discretionary,NVR Inc.,0.042134,4464.83,S&P 500,11.92,374.49,5.87%,3.38M,2.31%,14.69B,10.11,441.75,0.00%,3.10M,13.27%,1.41B,2.48,126.77,87.20%,2.12%,4.25%,9.31B,1.58,39.30%,0.49%,3.15,-13.39%,805.20,5.54,24.40%,4938.75,-12.97%,655.90,6.81,4.80%,48.00%,3576.01 - 5982.44,-24.44%,-,12.19,25.30%,28.50%,-25.37%,1.01,-,-,9.00%,26.50%,24.86%,149.02,6600,-,16.50%,20.40%,60.50,3.18% 3.42%,No,0.56,84.40%,15.20%,0.63,4552.61,Yes,0.56,Apr 26 BMO,0.00%,20.84K,4464.83,2.70,4.00%,5.77%,-7.88%,"13,056",-1.93%
NLOK,Information Technology,NortonLifeLock Inc.,0.043981,24.62,S&P 500,17.51,1.42,0.30%,581.00M,4.16%,14.16B,12.65,1.96,145.71%,578.66M,12.18%,836.00M,2.16,0.43,97.30%,3.70%,-2.94%,2.80B,5.06,21.90%,-6.23%,3.27,-4.95%,-0.16,-,12.30%,26.56,-3.92%,3.31,7.49,8.10%,-363.50%,21.55 - 30.92,-4.66%,0.50,21.29,41.70%,21.90%,-19.88%,0.66,2.02%,0.70,-7.00%,85.40%,14.94%,0.56,2700,0.70,6.50%,35.80%,63.44,2.52% 2.28%,Yes,-,-42.60%,29.90%,0.71,25.43,Yes,-,Aug 04 AMC,34.80%,6.55M,24.77,2.20,6.75%,5.37%,-3.34%,"4,671,045",-2.60%
VTRS,Health Care,Viatris Inc.,0.034355,9.7,S&P 500,71.09,0.14,0.20%,1.21B,-0.92%,12.22B,2.85,3.41,-15.38%,1.21B,-9.23%,167.70M,-,0.83,75.10%,1.92%,-5.25%,17.65B,0.69,5.80%,0.47%,2.04,-32.97%,16.89,0.58,0.30%,14.53,-30.03%,0.67,14.60,-1.30%,0.80%,9.44 - 15.60,-28.01%,0.48,5.04,-25.70%,-1.50%,-37.56%,1.26,4.93%,0.80,10.10%,39.20%,3.12%,0.36,37000,1.20,-5.40%,5.30%,37.91,3.66% 3.16%,Yes,1.08,138.30%,1.00%,3.34,9.55,Yes,0.92,Aug 08 BMO,325.40%,11.34M,9.74,2.60,-5.32%,-10.75%,-20.88%,"37,864,312",1.99%
BXP,Real Estate,Boston Properties Inc.,0.037425,89.16,S&P 500,25.50,3.50,0.18%,156.65M,1.76%,13.89B,25.20,3.54,-6.82%,156.42M,-0.93%,547.60M,3.64,0.78,-,4.03%,-29.06%,2.93B,4.74,-42.80%,0.03%,5.88,-22.09%,37.30,2.39,-,112.83,-22.40%,2.80,31.83,7.00%,-,84.86 - 133.11,-22.59%,3.92,-,-0.60%,4.90%,-33.02%,1.14,4.40%,-,2.50%,63.70%,5.07%,2.16,743,-,5.70%,-,43.43,1.94% 2.22%,Yes,2.27,55.50%,-,1.17,88.55,Yes,2.27,Jul 26 AMC,-,1.07M,89.16,2.50,-0.07%,-8.55%,-21.58%,"1,249,255",0.69%
CE,Materials,Celanese Corporation,0.036777,115.15,S&P 500,6.10,18.88,0.30%,108.19M,5.04%,12.68B,7.06,16.30,0.55%,108.03M,-4.30%,2.09B,-,4.56,98.10%,1.28%,-19.31%,9.28B,1.37,1.20%,0.08%,1.23,-28.32%,42.58,2.70,17.50%,152.82,-24.64%,5.58,20.64,-0.89%,50.10%,104.74 - 176.50,-31.48%,2.72,11.06,22.50%,19.80%,-34.76%,1.25,2.36%,1.00,9.60%,31.70%,9.94%,4.26,8529,1.60,41.20%,23.20%,42.53,2.83% 3.29%,Yes,0.87,62.70%,22.30%,0.69,113.34,Yes,0.68,Jul 28 AMC,14.40%,1.12M,115.15,2.20,0.19%,-13.65%,-23.26%,"776,459",1.60%
KIM,Real Estate,Kimco Realty Corporation,0.039506,21.51,S&P 500,13.64,1.58,2.10%,615.34M,5.65%,13.27B,30.60,0.70,-0.14%,604.99M,9.97%,914.40M,-,0.15,96.60%,2.65%,-15.45%,1.51B,8.79,-28.90%,-0.13%,3.27,-9.20%,16.09,1.34,5.80%,24.32,3.36%,0.54,39.64,-,11.10%,18.52 - 26.57,-12.74%,0.80,135.81,15.20%,2.20%,-19.03%,1.39,3.72%,-,3.10%,69.70%,16.11%,0.52,606,-,57.60%,24.00%,60.50,2.07% 2.33%,Yes,0.76,-72.40%,57.50%,0.75,21.45,Yes,0.76,Jul 28 BMO,39.20%,4.90M,21.51,2.10,5.96%,1.56%,-7.31%,"3,655,657",0.28%
MAS,Industrials,Masco Corporation,0.040355,55.41,S&P 500,24.73,2.24,0.40%,239.00M,4.43%,13.07B,12.34,4.49,-8.11%,235.47M,11.87%,546.00M,2.29,1.19,95.80%,3.30%,8.80%,8.61B,1.52,-46.90%,0.16%,3.32,-13.77%,-1.55,-,9.90%,64.50,-7.31%,2.03,27.29,10.80%,-263.10%,46.27 - 71.06,-21.09%,1.12,30.76,1.90%,35.70%,-22.02%,1.25,2.02%,1.00,2.60%,33.30%,19.75%,1.51,20000,1.60,11.70%,15.80%,61.32,2.45% 2.67%,Yes,-,165.50%,6.30%,0.72,56.31,Yes,-,Jul 28 BMO,43.60%,2.34M,55.41,2.50,4.78%,3.55%,-5.59%,"1,696,205",-1.60%
NI,Utilities,NiSource Inc,0.034561,29.03,S&P 500,19.09,1.52,0.30%,406.00M,2.25%,11.64B,18.74,1.55,0.00%,404.27M,4.39%,661.10M,2.66,0.13,94.90%,4.29%,-5.96%,5.23B,2.23,771.10%,-0.53%,3.79,5.45%,13.93,2.08,2.80%,32.00,15.15%,0.29,101.62,7.18%,12.80%,23.65 - 32.58,5.14%,0.94,25.81,4.40%,5.80%,-10.91%,0.35,3.24%,0.60,1.80%,69.00%,22.75%,0.65,7272,0.70,21.20%,22.50%,52.27,1.70% 2.24%,Yes,1.73,30.80%,12.60%,0.95,28.44,Yes,1.62,Aug 03 BMO,54.40%,4.57M,29.03,1.90,0.80%,-1.59%,2.55%,"4,323,143",2.07%
CBOE,Financials,Cboe Global Markets Inc,0.039261,124.75,S&P 500,26.71,4.67,0.40%,106.60M,5.56%,13.28B,18.79,6.64,0.15%,105.69M,11.04%,499.70M,5.46,1.69,87.90%,1.23%,9.32%,3.46B,3.84,15.10%,0.06%,2.11,5.64%,33.46,3.73,6.70%,136.60,3.79%,6.65,18.75,4.90%,14.20%,103.82 - 139.00,-4.33%,1.92,13.19,16.70%,11.70%,-10.25%,0.61,1.54%,1.30,39.70%,44.20%,20.16%,2.54,1196,1.30,-3.60%,24.20%,70.57,1.67% 2.13%,Yes,0.00,-19.70%,14.40%,0.71,123.73,Yes,0.45,Jul 29 BMO,39.80%,615.22K,124.75,2.40,5.53%,10.15%,4.02%,"437,389",0.82%
LVS,Consumer Discretionary,Las Vegas Sands Corp.,0.040035,38.85,S&P 500,-,-1.80,0.10%,764.00M,12.12%,30.09B,28.32,1.37,0.00%,330.73M,23.02%,-1372.00M,-,-0.22,38.70%,5.50%,6.73%,3.85B,7.81,20.00%,-0.25%,2.44,-11.20%,5.93,6.55,-4.70%,46.85,-15.12%,8.30,4.68,-1.75%,-34.60%,28.88 - 48.27,3.21%,-,-,-22.10%,-4.90%,-19.52%,1.30,-,3.10,-17.80%,31.40%,34.55%,1.56,44500,3.10,-21.20%,-21.40%,65.88,3.37% 4.10%,Yes,3.31,-74.50%,-24.90%,0.63,38.99,Yes,3.29,Jul 20 AMC,-,7.45M,38.85,2.30,11.64%,14.52%,2.35%,"4,707,931",-0.36%
CTXS,Information Technology,Citrix Systems Inc.,0.037429,101.37,S&P 500,46.19,2.19,0.70%,125.50M,-0.90%,12.85B,17.49,5.79,0.00%,124.43M,2.88%,277.70M,21.00,1.23,93.10%,3.45%,-0.25%,3.27B,3.93,-39.10%,-1.17%,3.50,0.13%,5.30,19.10,4.10%,100.20,-11.90%,5.83,17.38,2.20%,58.30%,78.07 - 115.33,7.04%,1.48,24.85,-4.00%,9.70%,-12.21%,0.08,1.46%,0.70,3.30%,80.90%,29.69%,1.62,9700,0.70,6.40%,7.40%,56.17,0.68% 1.41%,Yes,5.01,-34.00%,8.50%,0.35,101.48,Yes,4.86,-,49.90%,1.22M,101.25,2.80,1.41%,2.24%,3.99%,"422,738",-0.23%
HWM,Industrials,Howmet Aerospace Inc.,0.038918,34.83,S&P 500,48.92,0.71,0.40%,419.00M,5.55%,14.72B,18.88,1.84,-3.61%,415.12M,13.45%,306.00M,1.73,0.33,92.00%,1.58%,-0.37%,5.09B,2.89,23.60%,0.14%,2.45,6.74%,8.12,4.29,3.00%,41.45,7.57%,1.23,28.31,28.35%,8.80%,27.41 - 37.66,9.43%,0.08,51.29,17.40%,7.00%,-7.51%,1.58,0.23%,1.00,-16.70%,27.80%,27.07%,1.06,19900,2.20,9.50%,12.60%,60.70,2.49% 3.03%,Yes,1.24,70.00%,6.00%,0.91,34.36,Yes,1.24,Aug 04 BMO,8.30%,2.68M,34.83,2.00,6.17%,3.89%,5.34%,"2,444,188",1.37%
APA,Energy,APA Corp.,0.032828,34.3,S&P 500,4.91,7.01,0.30%,346.00M,4.97%,11.96B,3.42,10.07,-8.24%,337.08M,-4.92%,2.47B,0.17,2.47,86.10%,2.62%,-15.43%,8.78B,1.36,120.20%,-0.36%,0.94,14.39%,-0.05,-,18.80%,53.24,89.07%,0.67,51.12,28.61%,-268.80%,15.55 - 51.95,28.04%,0.50,3.30,22.10%,31.20%,-33.72%,3.98,1.45%,1.00,8.30%,68.60%,121.49%,2.24,2253,1.20,42.70%,49.10%,45.70,5.55% 5.48%,Yes,-,430.10%,28.10%,0.81,32.41,Yes,-,Aug 04 BMO,3.40%,9.38M,34.43,2.40,0.66%,-14.33%,-0.67%,"7,554,333",6.23%
TFX,Health Care,Teleflex Incorporated,0.036878,263.07,S&P 500,25.59,10.28,0.20%,46.88M,7.65%,12.44B,17.21,15.28,-3.09%,46.80M,4.60%,487.60M,2.46,3.34,92.79%,2.30%,-18.07%,2.82B,4.41,44.00%,1.11%,2.80,-18.60%,80.97,3.25,7.00%,339.82,-33.89%,9.87,26.65,10.40%,13.30%,235.58 - 405.97,-19.91%,1.36,26.25,15.50%,9.60%,-35.20%,1.17,0.52%,1.50,8.50%,55.10%,11.67%,7.18,14000,2.30,1.20%,21.80%,54.81,2.62% 2.59%,Yes,0.49,3.40%,17.30%,0.99,265.18,Yes,0.46,Jul 28 BMO,13.10%,385.05K,263.07,2.40,4.18%,-0.95%,-16.36%,"380,269",-0.80%
L,Financials,Loews Corporation,0.033404,57.82,S&P 500,8.98,6.44,0.10%,247.97M,2.81%,14.32B,-,-,-69.07%,203.32M,-0.34%,1.66B,0.64,-,62.00%,0.63%,-10.65%,14.52B,0.99,282.60%,0.21%,1.31,-0.57%,66.84,0.87,2.00%,-,7.93%,3.22,17.94,14.03%,9.40%,51.35 - 68.20,0.10%,0.25,6.14,25.70%,7.90%,-15.22%,0.84,0.43%,-,2.20%,-,12.60%,1.25,10340,-,-4.90%,18.40%,46.06,1.55% 1.89%,Yes,0.56,39.60%,11.40%,0.45,57.05,Yes,0.54,Aug 01 BMO,3.90%,981.25K,57.82,3.00,-0.50%,-4.58%,-3.88%,"437,227",1.35%
